race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202206050101,1,4,7,2020100258,牡2,55,00422,1:12.3,,"

**

",2-2,38.0,3.4,1,476(0),"

",01089,897009
202206050101,2,2,3,2020103079,牝2,54,01174,1:12.3,アタマ,"

**

",1-1,38.1,11.7,5,410(+6),"

",01059,063803
202206050101,3,1,1,2020100656,牡2,53,01164,1:12.4,クビ,"

**

",6-5,37.6,18.4,6,442(-6),"

",01076,790033
202206050101,4,1,2,2020100206,牡2,55,01009,1:13.1,4,"

**

",3-4,38.6,167.3,11,436(+2),"

",01143,547800
202206050101,5,7,13,2020105525,牡2,55,01085,1:13.3,1,"

**

",3-3,38.8,20.5,7,446(+10),"

",01031,863800
202206050101,6,6,12,2020104884,牝2,54,01134,1:13.5,1.1/4,"

**

",6-5,38.8,7.0,4,418(-4),"

",01035,934006
202206050101,7,4,8,2020103454,牝2,53,01188,1:13.5,クビ,"

**

",5-5,38.9,4.4,3,480(-2),"

",01023,223031
202206050101,8,5,10,2020100213,牡2,55,05212,1:13.6,1/2,"

**

",9-8,38.2,29.0,8,424(-4),"

",01125,042033
202206050101,9,3,5,2020104401,牝2,54,01150,1:14.4,5,"

**

",11-11,38.9,3.9,2,508(+4),"

",00412,368803
202206050101,10,2,4,2020105011,牝2,54,00689,1:14.6,1.1/4,"

**

",16-15,38.2,186.1,12,442(0),"

",01012,351803
202206050101,11,3,6,2020101090,牝2,54,01025,1:14.9,2,"

**

",12-12,38.9,361.7,15,464(+2),"

",01008,372033
202206050101,12,5,9,2020106786,牝2,54,01096,1:14.9,クビ,"

**

",14-13,38.7,61.4,9,438(-6),"

",01056,222031
202206050101,13,8,15,2020109137,牡2,55,00726,1:14.9,ハナ,"

**

",9-8,39.6,293.7,14,472(+12),"

",01090,514009
202206050101,14,6,11,2020102136,牡2,52,01198,1:15.2,1.3/4,"

**

",13-13,39.1,444.0,16,448(-10),"

",01005,368803
202206050101,15,7,14,2020107217,牡2,53,01173,1:15.4,1.1/2,"

**

",14-15,39.2,250.6,13,446(0),"

",01005,076031
202206050101,16,8,16,2020105927,牡2,55,01162,1:16.9,9,"

**

",6-8,42.1,73.6,10,436(+4),"

",01106,874033
202206050102,1,8,16,2020105282,牝2,54,00422,1:56.1,,"

**

",2-2-2-2,39.7,29.6,7,508(-22),"

",01056,304030
202206050102,2,8,15,2020101239,牝2,54,01117,1:57.0,5,"

**

",5-5-3-3,40.3,39.7,9,458(-8),"

",01109,051800
