race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
200607010811,11 R,第36回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2006年3月26日,1回中京8日目,18,6,11,7,14,7,13,930,260,210,260,"1,150","2,290",900,"1,110",760,"5,550","5,240","36,620"
200707010811,11 R,第37回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 重,"発走 : 15:40

過去の高松宮記念",2007年3月25日,1回中京8日目,18,4,8,8,17,6,11,450,180,"2,040",180,"1,790","40,250","6,770",390,"11,860","52,980","69,690","546,450"
200807011011,11 R,第38回高松宮記念(G1),芝左1200m,天候 : 小雨,芝 : 良,"発走 : 15:40

過去の高松宮記念",2008年3月30日,1回中京10日目,18,2,4,5,10,1,1,710,240,300,140,"2,700","4,610","1,550",510,770,"8,750","4,960","38,840"
200907020611,11 R,第39回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2009年3月29日,2回中京6日目,18,7,13,2,4,1,2,760,230,180,910,730,"1,750",740,"5,690","3,220","4,410","35,840","191,140"
201007020811,11 R,第40回高松宮記念(G1),芝左1200m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の高松宮記念",2010年3月28日,2回中京8日目,18,3,6,8,17,8,16,370,160,350,180,600,"2,690","1,110",420,"1,230","4,450","4,230","23,750"
201109020211,11 R,第41回高松宮記念(G1),芝右1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2011年3月27日,2回阪神2日目,16,2,4,4,8,3,6,450,170,290,"1,380","1,800","2,370",780,"3,900","6,730","3,970","33,730","129,290"
201207010811,11 R,第42回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2012年3月25日,1回中京8日目,18,5,10,8,17,1,1,390,130,160,120,670,950,330,230,420,"1,750","1,070","5,930"
201307020611,11 R,第43回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2013年3月24日,2回中京6日目,17,6,11,6,12,7,13,130,110,200,"1,230",480,470,240,"2,320","8,340",560,"11,340","27,200"
201407020611,11 R,第44回高松宮記念(G1),芝左1200m,天候 : 曇,芝 : 不良,"発走 : 15:40

過去の高松宮記念",2014年3月30日,2回中京6日目,18,3,5,8,17,5,9,770,260,350,140,"2,860","10,400","2,640",540,720,"17,030","7,990","71,040"
201507020611,11 R,第45回高松宮記念(G1),芝左1200m,天候 : 小雨,芝 : 稍重,"発走 : 15:40

過去の高松宮記念",2015年3月29日,2回中京6日目,18,2,4,7,15,8,16,650,260,490,230,"1,010","7,480","2,930","1,040","1,980","10,770","14,000","81,560"
201607020611,11 R,第46回高松宮記念(G1),芝左1200m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の高松宮記念",2016年3月27日,2回中京6日目,18,2,4,3,6,4,8,390,150,150,170,680,890,370,450,520,"1,730","1,740","6,690"
201707020611,11 R,第47回高松宮記念(G1),芝左1200m,天候 : 小雨,芝 : 稍重,"発走 : 15:40

過去の高松宮記念",2017年3月26日,2回中京6日目,18,3,6,2,3,4,7,870,230,180,160,"2,490","2,150",770,700,480,"4,750","3,230","23,880"
201807020611,11 R,第48回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2018年3月25日,2回中京6日目,18,5,9,4,8,4,7,550,240,220,750,"1,300","1,690",700,"2,290","2,760","3,170","15,910","60,450"
201907020611,11 R,第49回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の高松宮記念",2019年3月24日,2回中京6日目,18,2,3,2,4,4,7,780,320,"2,210","6,410","33,310","30,530","7,590","30,460","88,520","49,630","870,740","4,497,470"
202007010811,11 R,第50回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 重,"発走 : 15:40

過去の高松宮記念",2020年3月29日,1回中京8日目,18,8,16,4,8,2,3,"3,230",810,210,290,"2,300","9,150","3,540","3,770",880,"26,540","22,830","217,720"
202107020611,11 R,第51回高松宮記念(G1),芝左1200m,天候 : 雨,芝 : 重,"発走 : 15:40

過去の高松宮記念",2021年3月28日,2回中京6日目,18,7,14,8,16,5,9,600,210,140,190,710,"1,010",430,680,450,"2,170","2,200","9,770"
202207020611,11 R,第52回高松宮記念(G1),芝左1200m,天候 : 晴,芝 : 重,"発走 : 15:40

過去の高松宮記念",2022年3月27日,2回中京6日目,18,1,2,5,9,5,10,"2,780",660,420,"4,500","4,150","13,560","3,490","40,170","28,390","34,720","525,080","2,784,560"
