race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
201805010101,1,3歳未勝利,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,3,6,1,1,2,4,2290,460,250,210,8620,8970,2500,1700,810,22830,12060,108820,左,1400,10
201805010102,2,3歳未勝利,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,6,12,3,6,5,9,140,110,220,330,290,510,300,540,1440,640,2380,5260,左,2100,10
201805010103,3,3歳新馬,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,8,15,6,11,4,8,260,140,130,290,380,390,210,970,810,750,2410,7760,左,1600,11
201805010106,6,4歳以上500万下,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,5,10,3,6,8,16,430,140,220,170,760,1020,410,390,500,1950,1360,8060,左,1400,13
201805010107,7,3歳500万下,天候 : 晴,ダート : 不良,2018年1月27日,東京,15,7,12,5,8,2,3,730,220,170,250,1300,1260,490,1030,670,2780,4690,26880,左,1600,13
201805010108,8,4歳以上1000万下,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,6,12,8,15,4,7,190,110,220,130,1100,1040,430,270,900,1520,2160,8030,左,2100,14
201805010109,9,銀蹄ステークス ,天候 : 晴,ダート : 不良,2018年1月27日,東京,16,6,12,5,10,1,2,440,240,660,280,1670,3490,1170,690,2180,5670,7430,36570,左,1400,14
201805010201,1,3歳未勝利,天候 : 曇,ダート : 不良,2018年1月28日,東京,16,6,11,4,7,1,2,1050,320,210,330,4000,3140,1050,2030,970,6370,9590,56200,左,1300,10
201805010202,2,3歳新馬,天候 : 曇,ダート : 不良,2018年1月28日,東京,16,5,9,1,2,6,12,2080,450,190,300,710,3970,1330,2350,960,9050,12060,86730,左,1400,10
201805010203,3,3歳未勝利,天候 : 曇,ダート : 不良,2018年1月28日,東京,16,6,11,2,3,5,10,390,150,210,220,1400,1560,580,540,1220,2950,3840,15570,左,1600,11
201805010206,6,4歳以上500万下,天候 : 曇,ダート : 重,2018年1月28日,東京,15,5,8,7,12,1,1,1150,240,460,140,7480,11470,2560,460,1340,23710,7140,92610,左,2100,13
201805010207,7,4歳以上500万下,天候 : 曇,ダート : 重,2018年1月28日,東京,16,8,16,4,8,5,9,370,190,190,290,1070,1100,560,1140,1040,2020,5370,21030,左,1600,13
201805010208,8,4歳以上1000万下,天候 : 晴,ダート : 重,2018年1月28日,東京,16,4,7,6,11,8,16,550,160,380,110,1720,3990,1110,280,860,6260,2790,25030,左,1400,14
201805010211,11,第32回根岸ステークス(G3),天候 : 晴,ダート : 重,2018年1月28日,東京,14,8,14,5,8,4,6,1050,270,140,160,1520,2010,780,840,330,5080,2540,20200,左,1400,15
201805010301,1,3歳未勝利,天候 : 晴,ダート : 不良,2018年2月3日,東京,16,2,4,2,3,3,5,440,210,260,500,1570,1610,650,1870,3080,2830,11400,47180,左,1300,11
201805010302,2,3歳新馬,天候 : 晴,ダート : 不良,2018年2月3日,東京,16,6,11,1,1,2,4,190,130,260,260,450,1120,560,480,1130,1460,2810,8710,左,1400,11
201805010303,3,3歳未勝利,天候 : 曇,ダート : 不良,2018年2月3日,東京,16,5,10,1,2,4,7,140,110,190,130,960,1000,400,170,610,1280,1210,4680,左,1600,12
201805010307,7,3歳500万下,天候 : 曇,ダート : 不良,2018年2月3日,東京,16,7,13,3,6,4,7,130,110,180,2400,360,380,200,3850,18190,420,24180,44280,左,1400,13
201805010308,8,4歳以上500万下,天候 : 曇,ダート : 不良,2018年2月3日,東京,16,8,15,2,4,4,8,2000,640,280,300,5870,8210,2940,2100,1050,18160,18870,131740,左,1600,14
201805010312,12,4歳以上1000万下,天候 : 晴,ダート : 不良,2018年2月3日,東京,16,6,12,2,3,3,6,1310,300,270,150,2830,7650,1800,930,580,15660,7770,65340,左,1600,16
201805010401,1,3歳未勝利,天候 : 曇,ダート : 不良,2018年2月4日,東京,16,7,14,6,11,5,10,1090,340,130,1780,1460,1760,700,13090,4490,4230,41940,170150,左,1400,10
201805010402,2,3歳未勝利,天候 : 曇,ダート : 不良,2018年2月4日,東京,16,7,14,5,9,3,5,310,140,150,410,680,840,350,1140,1400,1560,4400,17640,左,2100,10
201805010403,3,3歳未勝利,天候 : 晴,ダート : 不良,2018年2月4日,東京,16,2,3,6,11,7,13,2130,680,220,600,3360,8250,2510,5950,2310,16800,51870,279170,左,1600,11
201805010404,4,3歳新馬,天候 : 晴,ダート : 不良,2018年2月4日,東京,16,8,16,3,6,6,11,440,200,1670,640,3890,13760,4400,2400,10970,20750,83460,396120,左,1600,11
201805010406,6,4歳以上500万下,天候 : 晴,ダート : 不良,2018年2月4日,東京,16,4,8,1,2,6,11,400,150,180,170,1000,910,390,380,530,1600,1280,6400,左,1400,13
201805010408,8,4歳以上1000万下,天候 : 晴,ダート : 不良,2018年2月4日,東京,16,4,7,1,2,2,3,2550,550,170,180,2970,7960,1900,2320,560,19200,10280,103790,左,1300,14
201805010410,10,金蹄ステークス ,天候 : 晴,ダート : 不良,2018年2月4日,東京,16,5,10,4,7,4,8,2260,610,500,3210,8390,9250,2920,19180,17640,24350,252220,1408800,左,2100,15
201805010501,1,3歳未勝利,天候 : 晴,ダート : 良,2018年2月11日,東京,16,3,6,6,12,1,1,870,260,180,230,1720,2740,950,1100,700,5680,5910,41840,左,1400,10
201805010502,2,3歳未勝利,天候 : 晴,ダート : 良,2018年2月11日,東京,16,6,11,4,8,4,7,500,170,350,340,1760,3050,900,900,1500,5310,8170,35910,左,1300,10
201805010503,3,3歳新馬,天候 : 晴,ダート : 良,2018年2月11日,東京,16,2,3,7,13,5,10,330,150,150,340,710,670,340,1240,1130,1300,4330,15400,左,1600,11
201805010506,6,4歳以上500万下,天候 : 晴,ダート : 良,2018年2月11日,東京,16,3,5,4,8,8,15,2280,480,190,710,3220,3850,1270,6400,1280,9930,21620,141210,左,2100,13
201805010508,8,4歳以上1000万下,天候 : 晴,ダート : 良,2018年2月11日,東京,16,2,3,7,14,6,12,230,140,440,360,1590,2070,790,650,3210,3070,8320,33880,左,2100,14
201805010510,10,バレンタインS ,天候 : 晴,ダート : 良,2018年2月11日,東京,16,3,5,2,4,4,8,970,410,310,730,840,4770,1780,3570,3530,9280,34000,178280,左,1400,15
201805010601,1,3歳未勝利,天候 : 晴,ダート : 良,2018年2月12日,東京,16,2,3,3,6,1,2,430,170,160,770,320,830,400,2280,2150,1760,8620,37400,左,1400,10
