race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
201805010101,1,3,6,2015100407,牝3,54,01077,1:28.0,,"

**

",2-2,39.6,22.9,8,450(+2),"

",01076,843030
201805010101,2,1,1,2015100131,牝3,54,00422,1:28.3,2,"

**

",1-1,40.0,5.8,4,474(+12),"

",01079,399030
201805010101,3,2,4,2015100170,牝3,54,05386,1:28.3,アタマ,"

**

",3-3,39.7,5.6,3,456(-2),"

",01108,252030
201805010101,4,7,13,2015102564,牝3,54,01122,1:28.3,ハナ,"

**

",12-10,38.9,8.7,5,424(-2),"

",01090,012033
201805010101,5,6,11,2015103377,牝3,54,01096,1:28.8,3,"

**

",11-10,39.4,9.1,6,460(0),"

",01029,132030
201805010101,6,8,16,2015104626,牝3,54,01095,1:28.8,ハナ,"

**

",6-5,40.0,3.5,1,448(-12),"

",01076,845033
201805010101,7,5,10,2015106443,牝3,54,01043,1:29.0,1.1/4,"

**

",10-9,39.8,53.8,9,436(-12),"

",01036,592033
201805010101,8,4,8,2015101865,牝3,51,01169,1:29.9,5,"

**

",3-5,41.1,22.0,7,410(-4),"

",01094,360009
201805010101,9,8,15,2015105173,牝3,54,01009,1:30.4,3,"

**

",8-12,40.9,4.0,2,466(-2),"

",01109,730800
201805010101,10,2,3,2015106161,牝3,54,01051,1:30.4,アタマ,"

**

",13-13,40.3,108.5,10,412(0),"

",00408,616800
201805010101,11,4,7,2015100794,牝3,54,01091,1:30.4,ハナ,"

**

",8-7,41.3,169.9,13,446(0),"

",01005,981002
201805010101,12,7,14,2015105943,牝3,54,01004,1:30.9,3,"

**

",6-7,41.9,155.9,11,452(+10),"

",01089,018803
201805010101,13,1,2,2015103132,牝3,54,01049,1:31.4,3,"

**

",16-16,39.7,338.7,16,462(-2),"

",00370,514009
201805010101,14,6,12,2015103685,牝3,54,00726,1:31.6,3/4,"

**

",3-3,43.0,304.3,15,432(-4),"

",01024,700006
201805010101,15,5,9,2015105204,牝3,54,00629,1:31.6,クビ,"

**

",15-15,41.0,252.8,14,450(+2),"

",01008,897009
201805010101,16,3,5,2015103066,牝3,54,01118,1:34.8,大,"

**

",13-13,44.7,165.1,12,448(0),"

",01156,600033
201805010102,1,6,12,2015105104,牡3,56,05339,2:14.8,,"

**

",2-2-1-1,38.7,1.4,1,530(0),"

",01134,226800
201805010102,2,3,6,2015102242,牡3,56,01095,2:15.2,2.1/2,"

**

",8-8-7-3,38.7,9.9,3,458(-2),"

",00349,531006
201805010102,3,5,9,2015100289,牡3,56,01092,2:17.0,大,"

**

",7-7-4-3,40.5,31.4,7,454(-6),"

",01020,284008
201805010102,4,5,10,2015105845,牡3,56,01043,2:17.6,3.1/2,"

**

",5-5-4-3,41.2,13.7,6,500(-4),"

",01102,331002
201805010102,5,7,13,2015106049,牡3,56,01009,2:17.6,ハナ,"

**

",10-10-9-6,40.7,37.1,8,502(-4),"

",01109,095700
201805010102,6,7,14,2015101974,牡3,56,01085,2:18.5,5,"

**

",11-11-10-9,40.7,233.2,13,526(+4),"

",01153,844002
201805010102,7,2,4,2015101888,牡3,56,01091,2:18.6,1/2,"

**

",14-14-12-11,40.1,336.1,15,458(+2),"

",01005,140030
201805010102,8,6,11,2015101782,牝3,54,00422,2:18.6,ハナ,"

**

",4-3-2-2,42.4,8.5,2,440(0),"

",00349,897009
201805010102,9,4,7,2015100907,牡3,53,01169,2:18.9,1.3/4,"

**

",11-13-10-8,41.6,61.6,10,494(+10),"

",01010,563009
201805010102,10,8,16,2015103500,牡3,56,05243,2:19.5,3.1/2,"

**

",15-15-15-14,40.4,39.8,9,520(-4),"

",01133,487800
201805010102,11,1,2,2015102857,牡3,53,01158,2:21.3,大,"

**

",2-3-4-7,44.2,13.0,5,460(+4),"

",01112,542800
201805010102,12,4,8,2015100334,牡3,56,01029,2:21.9,3.1/2,"

**

",11-11-12-12,43.1,338.1,16,492(-16),"

",01114,911800
201805010102,13,3,5,2015104844,牡3,56,01030,2:24.0,大,"

**

",5-5-8-12,45.2,12.3,4,450(-2),"

",01147,051803
201805010102,14,8,15,2015100229,牡3,56,01118,2:26.1,大,"

**

",1-1-2-9,48.4,313.6,14,530(0),"

",00412,030803
201805010102,15,1,1,2015101652,牡3,56,01025,2:26.2,1/2,"

**

",8-8-12-15,46.2,219.4,11,486(0),"

",01118,003060
201805010102,16,2,3,2015101127,牡3,56,01140,2:26.5,2,"

**

",15-16-16-16,41.0,220.9,12,544(0),"

",00417,270006
201805010103,1,8,15,2015104357,牝3,54,05339,1:39.5,,"

**

",1-1,38.4,2.6,1,458(0),"

",01059,588006
201805010103,2,6,11,2015105787,牡3,56,05386,1:40.6,7,"

**

",4-2,39.2,2.7,2,508(0),"

",01141,859007
201805010103,3,4,8,2015103313,牡3,56,01085,1:40.9,2,"

**

",7-8,38.8,21.9,6,498(0),"

",00359,536800
201805010103,4,3,5,2015106542,牡3,56,01043,1:41.3,2.1/2,"

**

",4-5,39.6,14.3,5,494(0),"

",01103,165033
201805010103,5,5,10,2015104140,牝3,54,00422,1:41.3,ハナ,"

**

",4-5,39.6,5.4,3,478(0),"

",01103,226800
201805010103,6,7,13,2015103553,牡3,56,01134,1:41.5,1.1/4,"

**

",16-14,38.8,77.6,11,520(0),"

",01100,571033
201805010103,7,7,14,2015105713,牝3,54,01115,1:41.8,1.3/4,"

**

",12-11,39.4,29.2,8,460(0),"

",01052,854800
201805010103,8,8,16,2015101911,牝3,54,01109,1:41.8,ハナ,"

**

",7-7,40.0,71.0,10,462(0),"

",01147,274002
201805010103,9,3,6,2015103000,牝3,54,01077,1:41.8,ハナ,"

**

",7-8,39.7,81.6,12,464(0),"

",01124,987033
201805010103,10,2,3,2015103494,牡3,56,01004,1:43.2,9,"

**

",12-11,40.8,118.7,13,522(0),"

",00421,074700
201805010103,11,5,9,2015105883,牝3,54,01049,1:43.8,3.1/2,"

**

",10-8,41.6,309.9,16,430(0),"

",01089,772002
201805010103,12,1,2,2015110080,牝3,54,01095,1:45.0,7,"

**

",2-4,43.5,13.0,4,500(0),"

",01141,851009
201805010103,13,6,12,2015100462,牝3,54,00641,1:45.7,4,"

**

",2-2,44.4,64.9,9,460(0),"

",00359,975030
201805010103,14,4,7,2015103506,牡3,56,01089,1:46.1,2.1/2,"

**

",10-13,43.6,178.4,14,460(0),"

",01134,898005
