race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201805010101,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 不良,発走 : 10:10,2018年1月27日,1回東京1日目,16,3,6,1,1,2,4,"2,290",460,250,210,"8,620","8,970","2,500","1,700",810,"22,830","12,060","108,820"
201805010102,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 不良,発走 : 10:40,2018年1月27日,1回東京1日目,16,6,12,3,6,5,9,140,110,220,330,290,510,300,540,"1,440",640,"2,380","5,260"
201805010103,3 R,3歳新馬,ダ左1600m,天候 : 晴,ダート : 不良,発走 : 11:10,2018年1月27日,1回東京1日目,16,8,15,6,11,4,8,260,140,130,290,380,390,210,970,810,750,"2,410","7,760"
201805010106,6 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 不良,発走 : 13:00,2018年1月27日,1回東京1日目,16,5,10,3,6,8,16,430,140,220,170,760,"1,020",410,390,500,"1,950","1,360","8,060"
201805010107,7 R,3歳500万下,ダ左1600m,天候 : 晴,ダート : 不良,発走 : 13:30,2018年1月27日,1回東京1日目,15,7,12,5,8,2,3,730,220,170,250,"1,300","1,260",490,"1,030",670,"2,780","4,690","26,880"
201805010108,8 R,4歳以上1000万下,ダ左2100m,天候 : 晴,ダート : 不良,発走 : 14:01,2018年1月27日,1回東京1日目,16,6,12,8,15,4,7,190,110,220,130,"1,100","1,040",430,270,900,"1,520","2,160","8,030"
201805010109,9 R,銀蹄ステークス ,ダ左1400m,天候 : 晴,ダート : 不良,"発走 : 14:35

過去の銀蹄ステークス",2018年1月27日,1回東京1日目,16,6,12,5,10,1,2,440,240,660,280,"1,670","3,490","1,170",690,"2,180","5,670","7,430","36,570"
201805010201,1 R,3歳未勝利,ダ左1300m,天候 : 曇,ダート : 不良,発走 : 10:10,2018年1月28日,1回東京2日目,16,6,11,4,7,1,2,"1,050",320,210,330,"4,000","3,140","1,050","2,030",970,"6,370","9,590","56,200"
201805010202,2 R,3歳新馬,ダ左1400m,天候 : 曇,ダート : 不良,発走 : 10:40,2018年1月28日,1回東京2日目,16,5,9,1,2,6,12,"2,080",450,190,300,710,"3,970","1,330","2,350",960,"9,050","12,060","86,730"
201805010203,3 R,3歳未勝利,ダ左1600m,天候 : 曇,ダート : 不良,発走 : 11:10,2018年1月28日,1回東京2日目,16,6,11,2,3,5,10,390,150,210,220,"1,400","1,560",580,540,"1,220","2,950","3,840","15,570"
201805010206,6 R,4歳以上500万下,ダ左2100m,天候 : 曇,ダート : 重,発走 : 13:05,2018年1月28日,1回東京2日目,15,5,8,7,12,1,1,"1,150",240,460,140,"7,480","11,470","2,560",460,"1,340","23,710","7,140","92,610"
201805010207,7 R,4歳以上500万下,ダ左1600m,天候 : 曇,ダート : 重,発走 : 13:35,2018年1月28日,1回東京2日目,16,8,16,4,8,5,9,370,190,190,290,"1,070","1,100",560,"1,140","1,040","2,020","5,370","21,030"
201805010208,8 R,4歳以上1000万下,ダ左1400m,天候 : 晴,ダート : 重,発走 : 14:05,2018年1月28日,1回東京2日目,16,4,7,6,11,8,16,550,160,380,110,"1,720","3,990","1,110",280,860,"6,260","2,790","25,030"
201805010211,11 R,第32回根岸ステークス(G3),ダ左1400m,天候 : 晴,ダート : 重,"発走 : 15:45

過去の根岸ステークス",2018年1月28日,1回東京2日目,14,8,14,5,8,4,6,"1,050",270,140,160,"1,520","2,010",780,840,330,"5,080","2,540","20,200"
201805010301,1 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 不良,発走 : 11:00,2018年2月3日,1回東京3日目,16,2,4,2,3,3,5,440,210,260,500,"1,570","1,610",650,"1,870","3,080","2,830","11,400","47,180"
201805010302,2 R,3歳新馬,ダ左1400m,天候 : 晴,ダート : 不良,発走 : 11:30,2018年2月3日,1回東京3日目,16,6,11,1,1,2,4,190,130,260,260,450,"1,120",560,480,"1,130","1,460","2,810","8,710"
201805010303,3 R,3歳未勝利,ダ左1600m,天候 : 曇,ダート : 不良,発走 : 12:01,2018年2月3日,1回東京3日目,16,5,10,1,2,4,7,140,110,190,130,960,"1,000",400,170,610,"1,280","1,210","4,680"
201805010307,7 R,3歳500万下,ダ左1400m,天候 : 曇,ダート : 不良,発走 : 13:30,2018年2月3日,1回東京3日目,16,7,13,3,6,4,7,130,110,180,"2,400",360,380,200,"3,850","18,190",420,"24,180","44,280"
201805010308,8 R,4歳以上500万下,ダ左1600m,天候 : 曇,ダート : 不良,発走 : 14:01,2018年2月3日,1回東京3日目,16,8,15,2,4,4,8,"2,000",640,280,300,"5,870","8,210","2,940","2,100","1,050","18,160","18,870","131,740"
201805010312,12 R,4歳以上1000万下,ダ左1600m,天候 : 晴,ダート : 不良,発走 : 16:25,2018年2月3日,1回東京3日目,16,6,12,2,3,3,6,"1,310",300,270,150,"2,830","7,650","1,800",930,580,"15,660","7,770","65,340"
201805010401,1 R,3歳未勝利,ダ左1400m,天候 : 曇,ダート : 不良,発走 : 10:10,2018年2月4日,1回東京4日目,16,7,14,6,11,5,10,"1,090",340,130,"1,780","1,460","1,760",700,"13,090","4,490","4,230","41,940","170,150"
201805010402,2 R,3歳未勝利,ダ左2100m,天候 : 曇,ダート : 不良,発走 : 10:40,2018年2月4日,1回東京4日目,16,7,14,5,9,3,5,310,140,150,410,680,840,350,"1,140","1,400","1,560","4,400","17,640"
