date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,horse_wight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id,race_type,surface
2007-12-26,浦和,晴,11,テレビ埼玉杯(G),200742122611,11,1,1,63.1,8,7,05230,58.0,1400,重,88.2,1.3,5-5-7-6,35.5-38.7,39.5,501(0),2000104545, ,1998107227,G,ダ
2007-11-30,大井,曇,11,アフター5スター賞競(G),200744113011,16,6,12,55.6,9,14,05269,57.0,1200,良,73.9,2.5,4-4,34.5-36.9,38.9,501(+17),2001102299, ,1998107227,G,ダ
2007-10-27,4京都8,晴,11,毎日放送賞スワンS(G2),200708040811,18,7,15,156.1,17,12,00422,57.0,1400,稍,81.9,1.2,11-15,33.7-35.5,35.0,484(-22),2003101859, ,1998107227,G2,芝
2007-10-03,大井,曇,11,東京盃競走(G2),200744100311,16,3,5,110.8,8,8,05269,56.0,1200,重,72.6,1.3,6-9,34.3-37.0,37.9,506(+22),1999106730, ,1998107227,G2,ダ
2007-06-12,旭川,晴,10,北海道スプリントカッ(G3),200734061210,14,6,10,28.6,5,8,00422,57.0,1000,良,61.2,1.2,9-10, ,37.2,484(-10),2002100683, ,1998107227,G3,ダ
2007-05-12,2東京7,晴,11,京王杯スプリングC(G2),200705020711,18,7,14,40.4,13,15,00422,57.0,1400,良,81.6,1.6,9-9,34.1-34.7,35.6,494(-12),2002110231, ,1998107227,G2,芝
2007-03-03,2中山3,曇,11,夕刊フジオーシャンS(G3),200706020311,16,7,13,17.2,7,12,00422,57.0,1200,良,69.3,1.1,14-14,33.5-34.7,34.8,506(+10),2002101003, ,1998107227,G3,芝
2006-10-28,5京都7,曇,11,毎日放送賞スワンS(G2),200608050711,18,7,13,10.1,6,14,00422,57.0,1400,良,80.9,0.6,17-17,34.5-34.5,33.5,496(+6),1999106907, ,1998107227,G2,芝
2006-09-10,3中京2,雨,11,セントウルS(G2),200607030211,18,6,12,7.2,4,3,00422,57.0,1200,稍,69.2,0.6,7-6,33.3-35.3,35.2,490(-16),2000102386,"1,518.4",1998107227,G2,芝
2006-08-20,3新潟4,晴,11,NSTOP(OP),200604030411,12,7,9,5.9,3,2,00422,57.0,1400,良,80.8,0.0,7-7,34.7-34.8,34.2,506(+12),2001106294,968.0,1998107227,OP,芝
2006-05-13,2東京7,雨,11,京王杯スプリングC(G2),200605020711,14,4,6,13.5,6,4,00422,57.0,1400,稍,82.3,0.5,7-9,35.2-34.6,34.4,494(+4),2000101550,900.0,1998107227,G2,芝
2006-03-26,1中京8,晴,11,高松宮記念(G1),200607010811,18,3,6,28.4,11,5,00422,57.0,1200,良,68.3,0.3,12-13,33.7-34.3,33.7,490(-4),2000101550,950.0,1998107227,G1,芝
2006-03-04,2中山3,晴,11,夕刊フジオーシャンS(G3),200606020311,16,3,5,139.5,14,1,00422,56.0,1200,稍,68.6,-0.2,12-11,33.3-35.3,34.6,494(-2),2002106885,"4,157.4",1998107227,G3,芝
2005-10-29,4京都7,曇,11,毎日放送賞スワンS(G2),200508040711,18,7,15,79.9,14,16,00652,57.0,1400,重,83.1,1.6,6-5,34.3-35.9,37.1,496(+2),2001107574, ,1998107227,G2,芝
2005-08-21,3新潟4,晴,11,アイビスサマーD(G3),200504030411,13,3,3,52.2,10,9,00629,56.0,1000,良,55.2,1.2,8,32.4-32.3,33.0,494(+10),2002109122, ,1998107227,G3,芝
2005-07-17,2新潟2,晴,11,NSTOP(OP),200504020211,18,1,2,48.2,10,8,00629,57.0,1400,良,80.6,0.6,3-3,33.4-35.5,35.7,484(+6),1998105841, ,1998107227,OP,芝
2005-05-21,2中京1,晴,11,テレビ愛知OP(OP),200507020111,17,8,16,24.5,8,17,00422,57.0,1200,良,69.0,2.3,6-6,32.8-33.9,35.7,478(-4),2000102386, ,1998107227,OP,芝
2005-04-16,2阪神7,晴,11,読売マイラーズC(G2),200509020711,16,7,14,152.4,13,16,00684,57.0,1600,良,96.0,2.5,15-16-16,35.1-34.2,35.3,482(-12),1999106738, ,1998107227,G2,芝
