race_id,race_round,race_title,weather,ground_status,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_obstacle,ground_type,is_left_right_straight,distance,weather_rain,weather_snow,datetime
202305010101,1,3歳未勝利,晴,1,東京,16,7,14,5,10,5,9,160,110,170,890,430,520,270,1820,4120,710,7490,18190,0.0,ダ,左,1400,0,0,2023-01-28 10:05:00
202305010102,2,3歳新馬,晴,1,東京,16,7,13,8,16,1,1,260,140,460,640,1370,1940,800,1790,5830,3130,22550,85690,0.0,ダ,左,1400,0,0,2023-01-28 10:35:00
202305010103,3,3歳未勝利,晴,1,東京,16,5,9,7,14,4,7,230,120,170,440,400,580,300,740,1210,1040,3470,11550,0.0,ダ,左,1600,0,0,2023-01-28 11:05:00
202305010104,4,3歳1勝クラス,晴,1,東京,12,8,11,7,9,5,5,340,130,130,170,590,680,270,400,420,1300,1540,6730,0.0,ダ,左,1600,0,0,2023-01-28 11:35:00
202305010105,5,3歳未勝利,晴,1,東京,16,6,11,2,3,4,7,160,110,500,190,360,2880,910,340,3090,3550,5880,22130,0.0,芝,左,1800,0,0,2023-01-28 12:25:00
202305010106,6,3歳新馬,晴,1,東京,16,2,4,3,5,6,11,1580,260,110,160,1020,1100,410,1060,240,3900,1830,17350,0.0,芝,左,1600,0,0,2023-01-28 12:55:00
202305010107,7,4歳以上1勝クラス,晴,1,東京,16,8,16,5,10,7,13,260,130,370,180,2330,2630,810,310,1500,3970,4230,20480,0.0,ダ,左,1400,0,0,2023-01-28 13:25:00
202305010108,8,4歳以上2勝クラス,晴,1,東京,16,1,1,6,12,1,2,670,170,120,150,360,860,360,560,270,2030,1510,8870,0.0,ダ,左,2100,0,0,2023-01-28 14:01:00
202305010109,9,白嶺ステークス ,晴,1,東京,15,2,3,5,9,6,10,150,110,890,350,3050,6560,2050,620,12030,7730,20990,72700,0.0,ダ,左,1600,0,0,2023-01-28 14:35:00
202305010110,10,クロッカスステークス(L),晴,1,東京,10,6,6,7,7,7,8,400,150,320,170,720,2570,800,340,1080,4450,3390,22420,0.0,芝,左,1400,0,0,2023-01-28 15:10:00
202305010111,11,白富士ステークス(L),晴,1,東京,10,7,7,1,1,2,2,180,110,130,150,410,390,180,230,320,600,620,1850,0.0,芝,左,2000,0,0,2023-01-28 15:45:00
