race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202205010101,1,1,2,2019101749,牝3,54,01092,1:26.3,,"

**

",1-1,37.2,7.9,4,458(+2),"

",01106,318803
202205010101,2,2,4,2019102073,牝3,54,05212,1:26.5,1,"

**

",4-4,37.0,4.2,1,448(+6),"

",01108,149002
202205010101,3,2,3,2019102552,牝3,54,01075,1:26.5,クビ,"

**

",3-3,37.1,5.0,3,476(0),"

",01165,017803
202205010101,4,1,1,2019102326,牝3,54,01118,1:27.0,3,"

**

",6-6,37.3,11.3,6,422(-4),"

",01035,934006
202205010101,5,4,7,2019104288,牝3,54,01119,1:27.1,3/4,"

**

",15-14,36.6,4.6,2,490(+8),"

",01132,064803
202205010101,6,4,8,2019100891,牝3,54,00733,1:27.2,3/4,"

**

",11-8,37.2,148.9,13,480(0),"

",01134,535006
202205010101,7,7,14,2019102346,牝3,54,00666,1:27.4,1,"

**

",2-2,38.2,14.3,8,490(-2),"

",01008,934006
202205010101,8,6,12,2019103071,牝3,53,01176,1:27.7,1.3/4,"

**

",8-9,37.6,8.8,5,468(-12),"

",01067,534006
202205010101,9,3,5,2019106651,牝3,52,01188,1:27.7,アタマ,"

**

",8-9,37.6,18.2,9,516(+2),"

",01051,033700
202205010101,10,8,16,2019105364,牝3,54,05386,1:27.8,3/4,"

**

",11-11,37.5,13.4,7,470(-2),"

",01162,180800
202205010101,11,5,9,2019100814,牝3,54,01117,1:28.0,1,"

**

",13-11,37.7,100.2,12,416(-4),"

",01043,163002
202205010101,12,5,10,2019101475,牝3,54,01150,1:28.7,4,"

**

",6-7,38.8,60.5,11,472(0),"

",01059,028803
202205010101,13,3,6,2019100158,牝3,51,01183,1:28.9,1.1/4,"

**

",10-11,38.6,562.2,15,430(-2),"

",01080,855030
202205010101,14,8,15,2019102365,牝3,54,01161,1:29.0,1/2,"

**

",14-14,38.5,325.6,14,450(-4),"

",01035,832008
202205010101,15,6,11,2019102004,牝3,52,01173,1:29.0,アタマ,"

**

",15-16,38.4,582.8,16,432(-4),"

",01131,970006
202205010101,16,7,13,2019101615,牝3,51,01192,1:29.1,クビ,"

**

",4-5,39.5,27.8,10,428(+12),"

",01038,362800
202205010102,1,8,16,2019102982,牡3,56,01043,1:26.6,,"

**

",3-3,38.4,4.0,2,516(0),"

",01093,958031
202205010102,2,6,12,2019106914,牡3,56,05339,1:27.0,2.1/2,"

**

",1-1,39.2,1.7,1,502(0),"

",01059,039060
202205010102,3,1,2,2019101979,牝3,54,01158,1:27.3,1.3/4,"

**

",5-4,38.5,14.5,5,496(0),"

",00405,173033
202205010102,4,6,11,2019105254,牡3,56,01127,1:27.7,2.1/2,"

**

",10-9,37.2,10.8,4,486(0),"

",01134,138007
202205010102,5,1,1,2019105737,牡3,54,01188,1:28.1,2.1/2,"

**

",9-9,37.6,54.0,9,472(0),"

",01080,201033
202205010102,6,8,15,2019104103,牝3,54,01134,1:28.6,2.1/2,"

**

",6-6,39.5,68.6,11,420(0),"

",01054,271008
202205010102,7,3,6,2019103194,牝3,54,01092,1:28.6,クビ,"

**

",4-4,39.9,10.7,3,464(0),"

",01108,762007
202205010102,8,7,14,2019102951,牡3,56,01061,1:29.1,2.1/2,"

**

",8-8,39.1,431.4,16,430(0),"

",01131,119007
202205010102,9,3,5,2019100825,牡3,56,01117,1:29.1,クビ,"

**

",7-7,39.7,27.2,7,468(0),"

",01090,712033
202205010102,10,5,9,2019106219,牡3,56,01129,1:29.2,1/2,"

**

",2-2,41.4,64.8,10,474(0),"

",01179,798033
202205010102,11,2,4,2019101009,牡3,54,01173,1:29.7,3,"

**

",13-13,37.8,280.4,15,464(0),"

",01026,377008
202205010102,12,4,8,2019104274,牡3,56,01085,1:30.0,1.1/2,"

**

",10-11,38.9,224.5,14,456(0),"

",00437,145030
202205010102,13,7,13,2019106327,牡3,56,01009,1:30.3,2,"

**

",12-12,38.6,150.8,12,474(0),"

",01080,716800
202205010102,14,2,3,2019100570,牝3,54,00733,1:30.5,1.1/2,"

**

",15-14,37.9,16.7,6,436(0),"

",01103,044803
202205010102,15,5,10,2019100734,牝3,53,01167,1:31.2,4,"

**

",14-15,38.4,187.3,13,484(0),"

",00420,639009
202205010102,16,4,7,2019102056,牡3,56,01153,1:31.9,4,"

**

",16-16,38.8,53.3,8,524(0),"

",01089,619002
202205010103,1,2,4,2019106238,牡3,56,01117,1:39.1,,"

**

",11-12,37.4,190.7,13,468(-6),"

",01035,832008
202205010103,2,4,8,2019104922,牡3,56,05212,1:39.2,1,"

**

",13-10,37.6,6.3,4,510(-8),"

",01086,026803
202205010103,3,4,7,2019100234,牡3,54,01188,1:39.3,1/2,"

**

",1-1,38.9,11.3,6,480(+6),"

",01081,438002
202205010103,4,3,5,2019100106,牡3,56,01096,1:39.4,クビ,"

**

",8-9,38.0,4.8,2,470(+6),"

",01093,959030
202205010103,5,8,16,2019105753,牡3,56,01075,1:39.6,1.1/2,"

**

",8-6,38.4,5.2,3,444(-4),"

",01088,906033
202205010103,6,7,14,2019102341,牡3,56,00733,1:40.1,3,"

**

",4-2,39.5,45.6,10,486(+6),"

",01047,132030
202205010103,7,5,10,2019100571,牡3,56,01093,1:40.1,ハナ,"

**

",2-2,39.5,3.1,1,474(+10),"

",00423,331803
202205010103,8,8,15,2019109091,牡3,56,01127,1:40.8,4,"

**

",5-5,39.7,33.7,8,462(0),"

",01109,148800
202205010103,9,6,11,2019100482,牡3,56,01043,1:41.0,1.1/4,"

**

",11-13,39.0,36.1,9,496(-6),"

",01156,338008
202205010103,10,6,12,2019102777,牡3,56,01158,1:41.4,2.1/2,"

**

",5-6,40.2,253.9,14,464(+4),"

",01112,329004
202205010103,11,3,6,2019105983,牡3,56,01170,1:41.5,1/2,"

**

",10-10,39.9,7.8,5,498(+6),"

",01023,195031
202205010103,12,7,13,2019100013,牡3,53,01192,1:42.2,4,"

**

",16-16,39.3,907.2,16,480(+2),"

",01012,855030
202205010103,13,2,3,2019106926,牡3,56,01150,1:42.5,1.3/4,"

**

",15-15,40.2,48.5,11,434(+4),"

",01059,192031
202205010103,14,1,1,2019100762,牡3,56,01009,1:43.4,5,"

**

",7-6,42.1,100.8,12,460(-10),"

",01024,546800
202205010103,15,1,2,2019100854,牝3,52,01173,1:43.6,1.1/4,"

**

",13-14,41.4,733.8,15,418(-22),"

",01005,981002
202205010103,16,5,9,2019106323,牡3,56,00689,1:43.9,2,"

**

",2-2,43.3,27.7,7,502(-4),"

",01125,500031
202205010104,1,1,2,2019106513,牝3,54,01075,1:36.9,,"

**

",7-7,37.2,91.2,12,516(-6),"

",01059,857800
202205010104,2,6,12,2019101613,牡3,56,01150,1:37.4,3.1/2,"

**

",14-15,36.6,107.0,13,500(-8),"

",01062,072803
202205010104,3,8,16,2019102437,牡3,56,01093,1:37.6,1.1/4,"

**

",10-11,37.2,3.2,2,480(+10),"

",01088,316031
202205010104,4,2,4,2019102454,牡3,55,01176,1:37.7,クビ,"

**

",1-1,38.7,82.3,11,506(+2),"

",01078,395803
202205010104,5,2,3,2019102143,牡3,56,01170,1:37.7,ハナ,"

**

",14-13,37.1,11.6,5,450(+2),"

",01086,675030
202205010104,6,6,11,2019100286,牡3,56,01127,1:38.0,2,"

**

",7-8,38.1,45.7,7,500(0),"

",01127,353803
202205010104,7,4,8,2019100723,牡3,56,01092,1:38.0,ハナ,"

**

",10-9,37.8,28.9,6,454(-8),"

",01085,788800
202205010104,8,7,13,2019110019,牡3,56,00689,1:38.1,1/2,"

**

",14-15,37.3,147.2,14,526(-4),"

",01027,270006
202205010104,9,3,5,2019110053,牡3,56,00666,1:38.3,1.1/4,"

**

",12-11,37.9,2.1,1,468(0),"

",01072,277033
202205010104,10,1,1,2019110123,牡3,56,05339,1:38.3,クビ,"

**

",4-3,38.9,9.2,4,552(+4),"

",00386,972033
202205010104,11,4,7,2019103309,牡3,56,01043,1:39.0,4,"

**

",4-5,39.4,7.7,3,516(+6),"

",01079,629007
202205010104,12,5,9,2019110119,牝3,54,05212,1:39.1,1/2,"

**

",2-2,39.9,49.3,8,460(-14),"

",01178,310007
202205010104,13,5,10,2019100800,牡3,56,01009,1:39.1,ハナ,"

**

",13-13,38.5,215.7,16,466(+2),"

",01162,716800
202205010104,14,3,6,2019100135,牡3,54,01188,1:39.6,2.1/2,"

**

",4-5,40.0,59.7,9,494(-4),"

",01023,224007
202205010104,15,7,14,2019110115,牡3,56,05203,1:40.0,2.1/2,"

**

",2-3,40.6,184.2,15,476(-2),"

",01039,944030
202205010104,16,8,15,2019101910,牡3,56,01096,1:40.2,1.1/4,"

**

",9-9,39.9,65.2,10,484(+6),"

",01118,003060
202205010107,1,2,3,2018105762,牡4,56,01093,1:25.7,,"

**

",15-14,35.4,3.3,1,476(+4),"

",01051,864009
202205010107,2,2,4,2018102000,牡4,56,00733,1:25.8,1/2,"

**

",9-8,36.3,13.0,7,508(0),"

",01152,044803
202205010107,3,6,11,2018100624,牡4,56,01075,1:25.9,1/2,"

**

",6-5,36.7,8.5,5,504(+8),"

",01027,087803
