race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
202205010101,1 R,3歳未勝利,ダ左1400m,天候 : 曇,ダート : 良,発走 : 10:05,2022年1月29日,1回東京1日目,16,1,2,2,4,2,3,790,200,180,200,590,"1,560",580,760,540,"3,500","3,450","19,720"
202205010102,2 R,3歳新馬,ダ左1400m,天候 : 曇,ダート : 良,発走 : 10:35,2022年1月29日,1回東京1日目,16,8,16,6,12,1,2,400,130,110,200,330,350,180,700,450,890,"1,420","6,330"
202205010103,3 R,3歳未勝利,ダ左1600m,天候 : 曇,ダート : 良,発走 : 11:05,2022年1月29日,1回東京1日目,16,2,4,4,8,4,7,"19,070","3,030",240,380,"9,040","65,370","12,970","20,620","1,500","199,920","209,060","2,475,070"
202205010104,4 R,3歳1勝クラス,ダ左1600m,天候 : 曇,ダート : 良,発走 : 11:35,2022年1月29日,1回東京1日目,16,1,2,6,12,8,16,"9,120","1,660","2,380",180,"8,000","267,610","42,750","5,130","3,590","574,380","314,170","3,668,310"
202205010107,7 R,4歳以上1勝クラス,ダ左1400m,天候 : 晴,ダート : 良,発走 : 13:25,2022年1月29日,1回東京1日目,16,2,3,2,4,6,11,330,160,270,270,"1,890","1,490",420,460,830,"2,330","2,900","12,200"
202205010108,8 R,4歳以上2勝クラス,ダ左2100m,天候 : 晴,ダート : 良,発走 : 14:01,2022年1月29日,1回東京1日目,16,5,9,3,6,5,10,140,110,170,160,470,580,290,210,530,670,"1,000","2,720"
202205010109,9 R,白嶺ステークス ,ダ左1600m,天候 : 晴,ダート : 良,"発走 : 14:35

過去の白嶺ステークス",2022年1月29日,1回東京1日目,14,1,1,8,13,3,4,"2,300",530,150,400,"2,800","4,280","1,800","4,280",800,"10,680","14,140","103,890"
202205010201,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2022年1月30日,1回東京2日目,16,7,13,2,3,3,6,560,230,430,200,"4,670","6,120","1,720",660,"1,310","10,890","10,120","67,590"
202205010202,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,発走 : 10:40,2022年1月30日,1回東京2日目,13,8,13,5,6,6,9,"1,570",310,180,380,"1,990","2,430",820,"2,290","1,040","6,520","8,860","62,490"
202205010203,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2022年1月30日,1回東京2日目,16,8,16,1,1,5,10,"2,350",630,330,260,"11,730","15,740","4,040","3,220","1,530","27,590","29,500","252,460"
