horse_id,bday,tame_id,owner_id,producer_id,production_area,auction_price,winnings,lifetime_record,wined_race_title,inbreeding_1,inbreeding_2,father,faths_father,faths_mother,mother,moths_father,moths_mother
2013105788,2013年1月28日,01061,708800,373126,安平町,"
-
","


6億3,007万円 (中央)

",28戦6勝 [6-2-2-18],201605021210,2010104042,2016104415,2002100816,000a00033a,000a0003a2,2004103059,000a00013a,000a006897
2015101654,2015年3月26日,01028,003060,811540,日高町,"
-
","


1億7,994万円 (中央)

",34戦5勝 [5-3-1-25],202209010211,2017106602,2010100697,1994108729,000a00033a,1988107344,000a0116c5,000a001be1,000a00b4b1
2016102201,2016年3月26日,01171,866800,900018,浦河町,"1,782万円 (2017年 北海道セレクションセール)
","


1億2,464万円 (中央)

",29戦4勝 [4-3-0-22],202005050110,2017106423,2019104106,2008102636,1994108729,1997103540,2011103579,000a011135,2003101040
2016102929,2016年4月23日,01149,331002,803353,日高町,"
-
","


1億6,401万円 (中央)

",37戦5勝 [5-4-4-24],202107060311,,,000a0022d2,000a001d7e,000a009786,000a012959,000a00fe93,000a01286f
2016104376,2016年3月26日,01164,345033,341126,新冠町,"3,348万円 (2017年 セレクトセール)
","


2億50万円 (中央)

",22戦6勝 [6-2-1-13],202206010811,000a019349,2017102249,2008103552,2001103460,1996107173,000a013b85,000a00232b,000a0128e5
2016104877,2016年1月22日,01070,044008,373126,安平町,"1億476万円 (2016年 セレクトセール)
","


3億7,139万円 (中央)

",17戦7勝 [7-5-0-5],202106020211,2013106138,2012104901,2001103038,000a00033a,1990104626,000a011abb,000a010bae,000a011a3f
2016105681,2016年4月24日,01039,061800,704079,新ひだか町,"
-
","


1億2,417万円 (中央)

",28戦5勝 [5-3-1-19],202309010811,2014104432,2015105598,2001103038,000a00033a,1990104626,2007100267,1998110135,1995108978
2017101431,2017年5月23日,01038,494800,owner.netkeiba.com,コスモヴューファーム,新冠町,"
-
","


3億5,190万円 (中央)

",2017101431,202106040711,NaN,2004103328,1995108676,1993109144,2003110225,000a0022cf,000a01087a
2017105335,2017年1月28日,01117,486800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


3億9,314万円 (中央)

",2017105335,202109020411,NaN,2002100816,000a00033a,000a0003a2,2003102823,1998110135,1998102634
2017105376,2017年2月4日,01061,708800,373126,安平町,"2億520万円 (2018年 セレクトセール)
","


3億6,282万円 (中央)

",21戦6勝 [6-4-2-9],202209020411,2012104669,2013105933,2002100816,000a00033a,000a0003a2,000a0117a0,000a0021cb,000a01170e
2017106203,2017年4月17日,01039,370008,000014,浦河町,"
-
","


2億3,002万円 (中央)

",27戦5勝 [5-4-2-16],202109050411,2018106324,2016101984,2010105827,2002100816,000a00646f,2008101637,1999110099,2001110231
2018100274,2018年4月8日,01062,427030,560543,日高町,"3,456万円 (2019年 北海道セレクションセール)
","


4億7,204万円 (中央)

",14戦8勝 [8-2-0-4],202309020411,2019101507,2014102218,2011100655,2004103328,2001102948,000a011426,000a002071,000a00ae50
2018104960,2018年5月17日,01157,506800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


1億4,711万円 (中央)

",2018104960,202210020411,NaN,2012104511,2001103460,2000107542,2011110078,000a010cdf,000a0121b2
2018105027,2018年3月10日,01097,486800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


7億7,663万円 (中央)

",2018105027,202106050811,NaN,2010104155,1999110099,2002100844,2009106142,2001103038,000a0001b4
2018105343,2018年3月17日,01061,180800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


9,637万円 (中央)

",2018105343,202107030111,NaN,2002100816,000a00033a,000a0003a2,000a012f79,000a001a98,000a012f58
2018105554,2018年1月25日,01151,415800,owner.netkeiba.com,社台コーポレーション白老ファーム,白老町,"
-
","


7,983万円 (中央)

",2018105554,202109020609,NaN,2010105827,2002100816,000a00646f,000a011aa2,000a010c91,000a011a39
