date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,race_course,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner_up_horse_id,prize,horse_id,target_race_id
2018/02/25,2中山2,曇,11,中山記念(G2),201806020211,10,7,7,36.1,8,6,00684,56,芝1800,良,1:47.9,0.3,3-3-3-3,36.2-36.6,35.4,506(+2),2014100222, ,2009102678,201709020411
2018/01/21,1中山7,晴,11,アメリカジョッキーC(G2),201806010711,11,6,6,86.8,9,4,00663,56,芝2200,良,2:13.8,0.5,6-6-3-4,36.3-36.0,35.0,504(-4),2014106010,930.0,2009102678,201709020411
2017/11/26,5東京8,晴,11,ジャパンC(G1),201705050811,17,4,7,445.8,17,17,05243,57,芝2400,良,2:26.0,2.3,2-2-2-2,36.3-35.1,37.2,508(0),2012104759, ,2009102678,201709020411
2017/10/29,4東京9,雨,11,天皇賞(秋)(G1),201705040911,18,3,6,131.5,15,7,05243,58,芝2000,不,2:09.9,1.6,17-14-10,38.6-38.7,39.6,508(+4),2012102013, ,2009102678,201709020411
2017/09/24,4中山7,曇,11,産経賞オールカマー(G2),201706040711,17,4,7,135.2,14,6,05243,56,芝2200,良,2:14.1,0.3,2-2-2-2,37.7-34.8,34.6,504(+4),2012104669, ,2009102678,201709020411
2017/08/20,2札幌2,晴,11,札幌記念(G2),201701020211,13,6,9,45.8,10,12,00700,57,芝2000,良,2:01.5,1.1,6-7-6-8,35.4-35.7,36.1,500(-2),2011102151, ,2009102678,201709020411
2017/06/04,3東京2,晴,11,安田記念(G1),201705030211,18,1,2,138.9,15,13,00700,58,芝1600,良,1:32.7,1.2,3-3,33.9-34.4,35.4,502(+2),2011104063, ,2009102678,201709020411
2017/04/02,2阪神4,晴,11,大阪杯(G1),201709020411,14,6,9,229.5,13,10,00700,57,芝2000,良,2:00.1,1.2,7-7-8-7,35.5-35.3,34.9,500(-4),2012102013, ,2009102678,201709020411
2016/12/10,5阪神3,晴,11,チャレンジC(G3),201609050311,18,8,16,6.5,3,9,00666,58.5,芝1800,稍,1:46.8,0.3,7-7,35.3-36.1,35.5,504(-2),2013102938, ,2009102678,201709020411
2016/11/20,5京都6,曇,11,マイルチャンピオンS(G1),201608050611,18,1,1,23.5,10,10,00666,57,芝1600,良,1:33.7,0.6,7-7,34.4-35.6,35.5,506(0),2011103916, ,2009102678,201709020411
2016/10/09,4東京2,曇,11,毎日王冠(G2),201605040211,12,5,5,7.1,4,6,00666,57,芝1800,稍,1:47.5,0.9,3-3-3,35.8-34.5,34.9,506(+6),2012104669, ,2009102678,201709020411
2016/06/05,3東京2,晴,11,安田記念(G1),201605030211,12,4,4,31.1,7,6,00666,58,芝1600,良,1:33.3,0.3,3-3,35.0-33.9,33.9,500(-6),2010103783, ,2009102678,201709020411
2016/03/26,3中山1,晴,11,日経賞(G2),201606030111,9,3,3,9.0,5,5,01026,57,芝2500,良,2:37.3,0.5,1-1-1-1,31.7-33.9,34.4,506(-4),2011105266,670.0,2009102678,201709020411
2016/01/24,1中山8,晴,11,アメリカジョッキーC(G2),201606010811,16,2,3,5.0,2,1,00666,57,芝2200,良,2:12.0,-0.2,6-7-6-4,36.3-35.4,34.9,510(+12),2009105928,"6,312.0",2009102678,201709020411
2015/12/05,4中京1,晴,11,金鯱賞(G2),201507040111,12,1,1,3.7,1,2,00700,57,芝2000,良,1:59.0,0.2,3-3-3-2,35.4-34.9,34.9,498(0),2008103100,"2,424.4",2009102678,201709020411
2015/11/01,4東京9,晴,11,天皇賞(秋)(G1),201505040911,18,1,1,8.3,3,8,00700,58,芝2000,良,1:58.9,0.5,5-8-10,36.4-34.0,33.9,498(-2),2010104298, ,2009102678,201709020411
2015/10/11,4東京2,曇,11,毎日王冠(G2),201505040211,13,4,4,6.7,4,2,00700,57,芝1800,良,1:45.8,0.2,5-5-5,35.9-34.0,33.6,500(+4),2011101273,"2,626.0",2009102678,201709020411
2015/08/23,2札幌2,晴,11,札幌記念(G2),201501020211,15,6,11,11.1,5,1,00700,57,芝2000,良,1:59.0,0.0,2-3-2-2,35.1-36.2,36.0,496(0),2008104835,"6,905.0",2009102678,201709020411
2015/06/14,3東京4,曇,11,エプソムC(G3),201505030411,13,8,12,7.1,4,3,00700,57,芝1800,良,1:45.5,0.1,10-10-8,35.6-34.6,34.1,496(+8),2011101273,"1,006.9",2009102678,201709020411
2015/03/14,2中京1,晴,11,中日新聞杯(G3),201507020111,18,1,1,8.0,5,1,00700,57,芝2000,良,2:01.2,-0.2,7-7-10-7,36.8-36.0,35.3,488(-10),2008103265,"4,063.0",2009102678,201709020411
2015/01/25,1中山9,晴,11,アメリカジョッキーC(G2),201506010911,17,3,6,69.0,11,5,00700,56,芝2200,良,2:14.0,0.4,3-4-6-5,37.7-34.6,34.4,498(-2),2009103847,600.0,2009102678,201709020411
2014/11/30,5東京9,晴,11,ジャパンC(G1),201405050911,18,7,13,138.5,14,15,05498,57,芝2400,良,2:26.0,2.9,8-10-12-13,36.0-35.2,36.8,500(+2),2010104155, ,2009102678,201709020411
2014/11/02,4東京9,晴,11,天皇賞(秋)(G1),201405040911,18,4,8,31.6,8,12,00700,58,芝2000,良,2:00.3,0.6,10-13-12,36.4-34.6,34.4,498(+4),2009105961, ,2009102678,201709020411
2014/10/12,4東京2,晴,11,毎日王冠(G2),201405040211,15,1,1,11.5,7,4,00700,56,芝1800,良,1:45.3,0.1,4-5-5,35.4-34.3,33.8,494(+2),2009105742,930.0,2009102678,201709020411
2014/06/15,3東京4,晴,11,エプソムC(G3),201405030411,17,1,1,4.3,2,1,00700,56,芝1800,良,1:46.2,0.0,4-8-9,35.9-34.2,33.6,492(+6),2008104087,"4,063.0",2009102678,201709020411
2014/05/17,3京都7,晴,11,都大路S(OP),201408030711,18,6,12,3.2,1,2,01026,56,芝1800,良,1:44.8,0.9,8-8,33.9-34.4,34.3,486(+2),2009105989,892.8,2009102678,201709020411
2014/03/09,1阪神4,晴,11,大阪城S(OP),201409010411,12,7,10,3.0,2,2,00700,56,芝1800,良,1:45.9,0.2,6-6,34.8-35.5,35.2,484(-10),2010102459,887.8,2009102678,201709020411
2014/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),201406010111,16,4,8,3.0,1,3,00700,55,芝2000,良,2:00.3,0.2,9-9-7-6,35.1-36.6,35.0,494(+14),2008102978,"1,008.6",2009102678,201709020411
2013/11/17,3福島6,晴,11,福島記念(G3),201303030611,16,5,10,2.7,1,4,00700,55,芝2000,良,1:57.4,0.1,11-12-5-6,33.7-34.9,34.9,480(-8),2007102829,600.0,2009102678,201709020411
