horse_id,bday,tamer_id,owner_id,producer_id,production_area,auction_price,winnings,lifetime_record,wined_race_title,inbreeding_1,inbreeding_2,father,faths_father,faths_mother,mother,moths_father,moths_mother
2003100697,2003年2月12日,01071,948006,220204,新冠町,"9,345万円 (2003年 セレクトセール)
","



3,276万円 (中央) /490万円 (地方)
",39戦2勝 [2-1-3-33],200509030805,2006104798,2008104877,000a00033a,000a0012bf,000a008c1e,000a006894,000a0000d3,000a00a892
2003101859,2003年3月20日,01075,687006,500034,浦河町,"
-
","


5億3,538万円 (中央)

",31戦10勝 [10-4-1-16],200805040211,2002102831,2010104741,000a000d71,000a0019da,000a0095c6,1997100488,000a000d70,000a0063e2
2003102205,2003年3月7日,00216,523005,610012,浦河町,"
-
","


10億6,594万円 (中央)

",27戦9勝 [9-7-2-9],200605030410,2004102198,2006102231,000a000d77,000a00185d,000a009851,1997102385,000a0000cc,1983102786
2003102281,2003年2月12日,01021,966002,400018,浦河町,"
-
","



6,161万円 (中央) /28万円 (地方)
",31戦2勝 [2-1-3-25],200501020110,2006102311,2009100793,1994109686,000a001a8f,000a00039b,000a00686b,000a0019da,000a00b4dc
2003102394,2003年3月8日,00423,331002,500659,浦河町,"
-
","


9,135万円 (中央)

",20戦3勝 [3-2-0-15],200504030811,2006100858,2004104248,1998101516,000a00033a,1987103805,1998103882,1983109006,1980105943
2003102558,2003年3月26日,05646,056002,393126,千歳市,"3億4,650万円 (2003年 セレクトセール)
","


8,909万円 (中央)

",16戦4勝 [4-0-2-10],200608010709,1999106772,2001103120,000a00033a,000a0012bf,000a008c1e,000a0065ba,000a001dcd,000a00a1ec
2003102720,2003年3月14日,00119,542800,owner.netkeiba.com,白老ファーム,白老町,"
-
","


4億6,078万円 (中央)

",2003102720,200607030611,NaN,1992109618,000a00033a,000a00021e,1998101676,1983109006,1988107344
2003102955,2003年4月6日,01011,056002,370126,早来町,"1億395万円 (2003年 セレクトセール)
","


2億7,878万円 (中央)

",24戦5勝 [5-3-0-16],200506050411,2002101006,2006103333,1998110135,000a00013a,000a000071,1996107418,000a00033a,000a00647d
2003102977,2003年3月3日,00348,151006,370126,早来町,"
-
","


2億894万円 (中央)

",45戦5勝 [5-8-7-25],200807020511,1999107052,1996107396,000a00033a,000a0012bf,000a008c1e,1990104462,1983109006,000a000038
2003102986,2003年3月24日,01017,486800,owner.netkeiba.com,ノーザンファーム,早来町,"
-
","


5,738万円 (中央)

",2003102986,200606020206,NaN,1996107396,000a00033a,1990104462,1992109613,000a0002a6,1983104092
2003102991,2003年2月23日,00348,770800,370126,早来町,"1,680万円 (2003年 セレクトセール)
","


7億4,046万円 (中央)

",17戦10勝 [10-2-2-3],200705050810,2008103326,2009106341,000a00010f,000a000134,000a00a55c,1998101750,000a00033a,000a0001b4
2003103038,2003年3月29日,00110,708800,370126,早来町,"6,510万円 (2003年 セレクトセール)
","


7,591万円 (中央)

",28戦5勝 [5-1-1-21],200609010209,2008103374,2012104929,1996190005,000a001c5e,000a00b1c4,1997190001,000a00185c,000a00b1c6
2003103122,2003年4月21日,05106,772002,530373,鵡川町,"262万円 (2004年 北海道オータムセール)
","


7,275万円 (中央)

",12戦3勝 [3-0-1-8],200608010411,2005101851,1999106356,1995104427,000a0000cc,000a0062e2,1993108779,000a00004c,1981100723
2003103165,2003年4月29日,01094,897009,000374,鵡川町,"
-
","



5,271万円 (中央) /58万円 (地方)
",46戦3勝 [3-4-0-39],200506050805,2007102512,2012106330,1995103211,000a00033a,1987101495,1993108581,000a000d12,000a0061e6
2003104910,2003年3月25日,01061,019800,750085,静内町,"
-
","


4億2,009万円 (中央)

",29戦7勝 [7-4-4-14],200907030310,2011102151,2015105855,1995108676,000a0019b4,000a00a4b9,1998104444,000a00033a,1982101897
2003105155,2003年4月23日,00138,078800,940082,静内町,"
-
","


3億276万円 (中央)

",45戦3勝 [3-10-9-23],200806050511,2005100667,2009103939,1996107396,000a00033a,1990104462,1993100885,1983102584,000a00625c
2003110004,2003年2月22日,00386,138007,250883,米,"
-
","


1億51万円 (中央)

",9戦3勝 [3-1-2-3],200606010611,1997110025,2001110087,1996190005,000a001c5e,000a00b1c4,000a00abee,000a001b87,000a00abed
2003110015,2003年3月10日,00427,582008,060881,米,"
-
","



1億6,531万円 (中央) /300万円 (地方)
",31戦4勝 [4-2-3-22],200606040211,2005110047,,000a0000d3,000a000e04,000a000491,000a0101b5,000a001607,000a0085c1
2004100730,2004年4月23日,00301,306008,000319,新冠町,"
-
","


2億3,513万円 (中央)

",30戦6勝 [6-2-2-20],200910010111,2008104881,2010105893,1994108729,000a00033a,1988107344,1999104317,000a0000cc,1987102415
2004100933,2004年5月3日,01044,032800,owner.netkeiba.com,村田牧場,新冠町,"
-
","


4億8,248万円 (中央)

",2004100933,200907020611,NaN,1995104427,000a0000cc,000a0062e2,1998100880,000a000354,1992109410
2004101099,2004年3月31日,00399,546800,owner.netkeiba.com,小河豊水,三石町,"640万円 (2004年 北海道オータムセール)
","


1億1,653万円 (中央)

",2004101099,200705040611,NaN,1997110179,000a0016eb,000a00010c,1996107464,000a00033a,1992110185
2004102272,2004年3月4日,01013,523005,400018,浦河町,"
-
","


1億4,850万円 (中央)

",27戦4勝 [4-3-3-17],200806050712,2008101772,2009100781,1998101554,000a00033a,000a000334,1999110012,000a001e7d,000a000121
2004102495,2004年4月25日,00413,334009,700380,白老町,"
-
","


4,476万円 (中央)

",37戦3勝 [3-0-3-31],200708010609,1999106525,1995103884,1988109108,000a001bda,000a009781,1987105478,000a0004c2,1975102677
2004102753,2004年2月24日,01071,226800,owner.netkeiba.com,社台コーポレーション白老ファーム,白老町,"
-
","


8億4,797万円 (中央)

",2004102753,200906050810,NaN,1994108729,000a00033a,1988107344,1997103540,1987107235,1986104911
2004102834,2004年2月16日,01011,056002,370126,早来町,"1億500万円 (2004年 セレクトセール)
","


1億4,331万円 (中央)

",11戦4勝 [4-0-1-6],200705010411,2005102453,2008103078,1998101786,1983109006,000a00657c,1995107964,000a00033a,000a0062a7
2004102850,2004年3月19日,01101,708800,370126,早来町,"
-
","


8,191万円 (中央)

",39戦3勝 [3-0-2-34],200606050806,2002100816,2001103312,1998101516,000a00033a,1987103805,000a0003a2,000a001cb4,000a00922c
2004102884,2004年4月3日,01002,372006,370126,早来町,"
-
","


2億862万円 (中央)

",16戦3勝 [3-1-2-10],200706030811,2000101561,2001103340,000a000082,000a0012cb,000a00877c,1994108685,1983109006,000a006412
2004102987,2004年2月19日,00348,398002,370126,早来町,"
-
","


2億7,686万円 (中央)

",16戦4勝 [4-2-3-7],200808020711,2006103319,2008103273,1998101516,000a00033a,1987103805,1993109481,000a0016eb,000a000018
2004103163,2004年3月23日,01058,537009,300126,千歳市,"7,455万円 (2004年 セレクトセール)
","


5億1,255万円 (中央)

",23戦6勝 [6-2-2-13],200708040711,2008102831,2006102926,1990109700,000a0000cc,000a00977e,1996107164,000a00033a,000a00631a
2004103171,2004年3月29日,00138,758005,393126,千歳市,"
-
","


6,746万円 (中央)

",9戦1勝 [1-4-0-4],200705010606,1998101548,2008102840,1998101554,000a00033a,000a000334,000a00663f,000a000162,000a000142
2004104892,2004年4月23日,00396,013700,110300,静内町,"
-
","



1億7,000万円 (中央) /88万円 (地方)
",30戦8勝 [8-6-3-13],200709020111,2008100791,2007100758,1993190010,000a001b87,000a00abc0,1993109201,1986109003,000a0000f7
2004105511,2004年4月11日,00395,078006,310359,門別町,"
-
","


6,858万円 (中央)

",20戦3勝 [3-3-4-10],200808020609,2005103035,2006105383,1996107315,000a00033a,000a0064f3,1995101973,000a000d67,1988104558
2004105897,2004年4月15日,01086,453006,510395,門別町,"
-
","



1億2,911万円 (中央) /13万円 (地方)
",22戦2勝 [2-3-1-16],200706010511,2017100643,2013100687,000a000354,000a0016eb,000a00a4ad,1999103771,000a00025e,1987107490
2004110033,2004年4月28日,00201,297002,320885,米,"
-
","



2億1,454万円 (中央) /7,100万円 (地方)
",25戦7勝 [7-8-1-9],200750050410,2007110083,2009105883,000a0022cd,000a001849,000a0090c8,000a010937,000a00185a,000a010936
2004110071,2004年4月27日,01067,584007,190880,米,"
-
","


6,058万円 (中央)

",12戦3勝 [3-1-2-6],200705050710,2011101273,2006110045,000a0022cf,000a001607,000a00b4ce,000a00b4d3,000a001a98,000a00b3f8
