date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,race_course,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner_up_horse_id,prize,horse_id,target_race_id
2010/09/01,大井,晴,11,アルテミス賞競走,201044090111,12,8,12,39.9,10,7,00423,55,ダ1800,良,1:54.2,0.8,12-11-11-11,37.4-39.1,37.9,494(-7),2005103853, ,2003100697,200606030811
2010/08/15,大井,晴,9,ダイアモンドターン賞,201044081509,10,7,8,20.3,7,10,00423,54,ダ1800,良,1:55.5,1.4,5-5-5-5,38.4-37.9,38.8,501(+11),2003110185, ,2003100697,200606030811
2010/07/29,大井,雨,11,盛夏賞競走,201044072911,13,6,8,27.3,8,9,00423,55,ダ1800,不,1:56.0,2.6,12-12-10-10,37.2-38.6,39.5,490(-11),2003100512, ,2003100697,200606030811
2010/07/14,大井,晴,12,デネブ賞競走,201044071412,13,7,10,49.5,12,6,00423,55,ダ1800,重,1:56.2,1.3,11-11-7-5,37.1-39.5,40.3,501(+6),2004106360, ,2003100697,200606030811
2010/03/19,大井,晴,11,八丈島フリージア賞競,201044031911,16,8,15,18.0,6,15,05199,56,ダ1800,重,1:58.7,4.0,9-9-11-14,37.3-39.9,42.6,495(-2),2006101189, ,2003100697,200606030811
2010/03/04,大井,雨,11,ブラッドストーン賞競,201044030411,15,1,1,10.0,5,13,05365,54,ダ1800,重,1:58.1,2.6,13-12-8-10,36.8-40.6,42.3,497(+2),2003106171, ,2003100697,200606030811
2010/02/04,大井,晴,10,アーバンステージ如月,201044020410,14,8,14,8.2,3,3,05365,56,ダ1800,不,1:56.5,0.2,9-9-6-5,37.0-41.2,41.1,495(-1),2006100143,80.0,2003100697,200606030811
2010/01/21,大井,曇,12,春駒賞競走,201044012112,13,5,7,13.3,4,1,05386,54,ダ1800,良,1:55.2,0.0,12-11-7-8,38.6-39.5,39.0,496(-11),2004106177,320.0,2003100697,200606030811
2009/12/28,大井,曇,11,年忘れ1dayTW賞,200944122811,14,4,6,54.4,11,9,05365,56,ダ1600,良,1:43.8,1.3,10-9-7-8,37.8-40.0,40.9,507(+4),2005104585, ,2003100697,200606030811
2009/12/01,大井,晴,10,特選,200944120110,16,5,9,28.3,5,4,05352,56,ダ1800,重,1:56.8,2.2,8-7-6-6,37.9-38.1,39.8,503(0),2003104482,30.0,2003100697,200606030811
2009/11/17,船橋,雨,10,神楽月特別,200943111710,8,5,5,6.6,4,3,05386,54,ダ1600,不,1:42.1,1.3,8-7-5-4,36.9-39.2,40.0,503(-5),2003104303,60.0,2003100697,200606030811
