race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
200606030811,11 R,第66回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2006年4月16日,3回中山8日目,18,3,5,1,2,3,6,"1,450",430,760,260,"1,000","13,980","3,290","1,380","3,000","29,670","34,700","273,310"
200706030811,11 R,第67回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2007年4月15日,3回中山8日目,18,8,17,5,9,1,1,"1,730",590,"2,110",190,"6,360","94,630","20,070","1,190","8,230","178,340","205,370","1,623,250"
200806030811,11 R,第68回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2008年4月20日,3回中山8日目,18,3,6,1,1,5,9,"1,710",430,380,150,"2,090","10,260","2,590","1,050",940,"20,300","11,230","82,750"
200906030811,11 R,第69回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2009年4月19日,3回中山8日目,18,8,16,2,4,7,15,610,280,"1,470",870,"5,170","11,940","3,360","1,570","10,240","18,390","67,600","390,930"
201006030811,11 R,第70回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 稍重,"発走 : 15:40

過去の皐月賞",2010年4月18日,3回中山8日目,18,7,13,8,16,6,11,230,130,280,720,550,"1,260",540,"1,440","4,080","1,920","11,410","35,220"
201105020211,11 R,第71回皐月賞(G1),芝左2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2011年4月24日,2回東京2日目,18,6,12,2,4,1,2,"1,080",300,130,550,570,"1,260",630,"3,840","1,330","3,740","9,220","55,450"
201206030811,11 R,第72回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 稍重,"発走 : 15:40

過去の皐月賞",2012年4月15日,3回中山8日目,18,7,14,5,9,3,6,710,210,160,200,890,"1,220",500,700,460,"3,190","2,050","12,620"
201306030811,11 R,第73回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2013年4月14日,3回中山8日目,18,4,7,7,14,6,12,370,140,150,140,440,840,360,320,330,"1,750","1,210","5,920"
201406030811,11 R,第74回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2014年4月20日,3回中山8日目,18,1,2,8,17,8,18,510,190,150,470,330,920,390,"1,990","1,250","1,900","7,690","33,490"
201506030811,11 R,第75回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2015年4月19日,3回中山8日目,15,2,2,3,5,4,7,460,190,150,290,780,790,390,"1,130",860,"1,530","3,110","12,360"
201606030811,11 R,第76回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2016年4月17日,3回中山8日目,18,8,18,2,3,6,11,"3,090",530,160,150,450,"6,220","1,730","1,760",320,"17,680","6,000","70,390"
201706030811,11 R,第77回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の皐月賞",2017年4月16日,3回中山8日目,18,6,11,4,7,5,10,"2,240",650,320,"1,340","2,380","8,710","2,250","16,960","6,770","20,720","176,030","1,064,360"
201806030811,11 R,第78回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 稍重,"発走 : 15:40

過去の皐月賞",2018年4月15日,3回中山8日目,16,4,7,7,14,5,10,"1,450",430,580,530,"9,520","12,880","3,250","3,010","4,290","23,570","53,410","372,080"
201906030811,11 R,第79回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2019年4月14日,3回中山8日目,18,6,12,4,7,2,4,170,110,200,160,670,950,360,270,660,"1,140","1,480","4,390"
202006030811,11 R,第80回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 稍重,"発走 : 15:40

過去の皐月賞",2020年4月19日,3回中山8日目,18,1,1,4,7,8,16,270,140,170,690,640,660,330,"2,250","2,610","1,120","9,150","26,310"
202106030811,11 R,第81回皐月賞(G1),芝右2000m,天候 : 晴,芝 : 稍重,"発走 : 15:40

過去の皐月賞",2021年4月18日,3回中山8日目,16,4,7,7,13,2,3,370,170,490,380,"1,150","4,300","1,540","1,150","3,560","5,510","20,000","82,320"
202206030811,11 R,第82回皐月賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の皐月賞",2022年4月17日,3回中山8日目,18,7,14,8,18,6,12,910,240,210,140,"1,730","3,570","1,220",530,550,"7,540","4,190","32,840"
