date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,horse_wight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id,race_type,surface
2015-03-01,1阪神2,雨,11,阪急杯(G3),201509010211,16,4,8,66.2,11,8,01102,56,1400,不,84.6,0.8,2-1,34.9-36.8,37.5,520(-6),2009105925, ,2007104807,G3,芝
2015-02-01,2京都2,晴,11,シルクロードS(G3),201508020211,17,5,10,66.0,14,11,01102,58,1200,良,68.9,1.0,4-3,33.9-34.0,34.8,526(+14),2009104154, ,2007104807,G3,芝
2014-10-05,3新潟8,小雨,11,スプリンターズS(G1),201404030811,18,3,5,73.5,14,9,00894,57,1200,良,69.1,0.3,5-6,33.7-35.1,34.7,512(+6),2008104268, ,2007104807,G1,芝
2014-08-31,2札幌4,晴,11,キーンランドC(G3),201401020411,16,7,14,9.8,5,3,01014,56,1200,良,69.0,0.0,2-2,34.1-34.9,34.8,506(-14),2010104278,"1,008.1",2007104807,G3,芝
2014-03-30,2中京6,曇,11,高松宮記念(G1),201407020611,18,1,1,33.8,10,18,00422,57,1200,不,75.0,2.8,4-2,34.5-37.7,39.9,520(+2),2010106552, ,2007104807,G1,芝
2014-02-02,2京都2,晴,11,シルクロードS(G3),201408020211,16,5,9,16.3,5,4,05473,58.5,1200,良,68.2,0.8,2-2,34.1-33.3,34.0,518(+8),2009100301,570.0,2007104807,G3,芝
2013-12-23,5阪神9,晴,11,阪神C(G2),201309050911,18,8,18,7.3,3,12,01014,57,1400,良,82.2,0.8,5-5,35.0-34.8,35.2,510(-4),2008103244, ,2007104807,G2,芝
2013-10-26,4京都8,晴,11,毎日放送賞スワンS(G2),201308040811,13,8,13,2.8,1,5,01014,56,1400,稍,81.2,0.4,2-2,35.3-34.0,34.3,514(+6),2010106552,550.0,2007104807,G2,芝
2013-09-29,4中山9,晴,11,スプリンターズS(G1),201306040911,16,8,15,27.2,6,4,01014,57,1200,良,67.4,0.2,7-8,32.9-34.3,33.9,508(+4),2008103552,"1,400.0",2007104807,G1,芝
2013-06-30,3中京2,晴,11,CBC賞(G3),201307030211,14,8,14,3.6,1,1,01014,58,1200,良,68.0,0.0,3-3,34.2-33.8,33.3,504(-8),2009102527,"3,855.3",2007104807,G3,芝
2013-04-21,3京都2,晴,11,読売マイラーズC(G2),201308030211,18,5,10,49.6,10,6,00894,56,1600,良,92.9,0.3,3-3,34.1-35.3,35.4,512(0),2008103388, ,2007104807,G2,芝
2013-03-24,2中京6,晴,11,高松宮記念(G1),201307020611,17,4,8,26.3,7,6,01014,57,1200,良,68.5,0.4,4-4,34.3-33.8,33.9,512(-4),2008103552, ,2007104807,G1,芝
2013-02-24,1阪神2,晴,11,阪急杯(G3),201309010211,16,1,2,7.9,2,2,01014,56,1400,良,81.1,0.1,7-7,34.4-35.4,34.3,516(-6),2008103552,"1,516.8",2007104807,G3,芝
2013-01-27,2京都2,晴,11,シルクロードS(G3),201308020211,16,7,14,11.6,6,4,01014,58,1200,良,68.7,0.1,3-3,35.0-33.6,33.5,522(+6),2007104877,570.0,2007104807,G3,芝
2012-12-24,5阪神9,晴,11,阪神C(G2),201209050911,18,1,2,17.5,8,13,01014,57,1400,良,81.7,0.7,4-4,34.3-35.5,35.9,516(+16),2006102822, ,2007104807,G2,芝
