horse_id,bday,tame_id,owner_id,producer_id,production area,auction price,winnings,lifetime record,wined race title,inbreeding-1,inbreeding-2,father,faths father,faths mother,mother,moths father,moths mother
2008104268,2008年4月6日,01088,851009,910331,新冠町,"
-
","



3億7,038万円 (中央) /1,742万円 (地方)
",61戦8勝 [8-13-7-33],201404030811,2007104109,2011104589,1996106512,000a001bda,1991104457,1998105689,1992109612,1987105609
2009106035,2009年3月14日,01055,708800,393126,千歳市,"4,200万円 (2009年 セレクトセール)
","


3億1,452万円 (中央)

",26戦5勝 [5-5-6-10],201409020211,2010103985,2008103055,2002100816,000a00033a,000a0003a2,000a0111c7,000a0000d1,000a00fd7f
2009106056,2009年4月10日,01070,675030,373126,安平町,"2,205万円 (2010年 セレクトセール)
","


1億2,942万円 (中央)

",30戦6勝 [6-2-2-20],201610020811,2010104012,2018104879,1989108341,1982101222,1984104366,2000101679,000a00033a,000a0001e1
2010100483,2010年3月6日,01086,021007,913124,日高町,"
-
","


1億2,260万円 (中央)

",32戦5勝 [5-4-2-21],201709010211,2013100359,2006105503,2001103460,000a001d7e,000a00680e,1998105870,000a00033a,000a000036
2010100690,2010年4月18日,01016,003060,811540,日高町,"
-
","


2億3,963万円 (中央)

",51戦7勝 [7-3-8-33],201502010211,2009102663,2008105782,1998190003,000a001c1d,000a010a70,000a0111fb,000a0017d2,000a0111db
2010101775,2010年2月28日,01145,180800,owner.netkeiba.com,エクセルマネジメント,えりも町,"
-
","


2億5,498万円 (中央)

",2010101775,201508030211,,1998101516,000a00033a,1987103805,1998107103,000a0000cc,1984102981
2011102579,2011年3月26日,05629,796002,303305,新ひだか町,"735万円 (2012年 北海道サマーセール)
","


2億4,854万円 (中央)

",57戦8勝 [8-6-4-39],201608040211,2000102702,2005100948,000a00fa34,000a00010f,000a00faab,1992102495,1983109006,1981105172
2011104416,2011年4月12日,01103,180800,owner.netkeiba.com,社台ファーム,千歳市,"
-
","


4億6,924万円 (中央)

",2011104416,201606040811,,000a00fa34,000a00010f,000a00faab,1997103531,000a00033a,000a006146
2011104557,2011年3月4日,05315,865800,700330,新冠町,"367万円 (2013年 JRAブリーズアップセール)
","


1億3,795万円 (中央)

",19戦5勝 [5-1-3-10],201302020611,2014100049,2015100051,2001190004,000a001ce7,000a010527,2003100057,1994108729,1997110116
2011104627,2011年5月18日,a0276,x09d5e,310335,新冠町,"
-
","



1億6,925万円 (中央) /40万円 (地方)
",38戦6勝 [6-7-3-22],201608010310,2004106840,2006106521,1998101554,000a00033a,000a000334,000a0067af,000a001fd7,000a00afb6
2012102095,2012年4月6日,01084,037803,930369,平取町,"
-
","



4億6,273万円 (中央) /1,435万円 (地方)
",36戦3勝 [3-8-5-20],201509020611,2010100050,2018101299,2001103460,000a001d7e,000a00680e,2001107831,1992103687,1996102807
2012103249,2012年3月20日,00417,078800,943082,新ひだか町,"
-
","


1億4,462万円 (中央)

",66戦6勝 [6-3-4-53],201705050411,2017105356,2016104500,000a0103b9,000a000178,000a01043c,2000102386,1989108341,1996105163
2012110117,2012年8月21日,01144,138007,660883,豪,"
-
","


1億3,861万円 (中央)

",20戦7勝 [7-1-0-12],201706020311,,,000a010601,000a0000d1,000a010600,000a01268f,000a0022f1,000a01268e
2013100783,2013年3月16日,01044,271008,203398,日高町,"
-
","



2億7,853万円 (中央) /110万円 (地方)
",41戦5勝 [5-5-6-25],201609050811,2008105965,2016103495,2003110212,1992109618,000a006843,000a01069f,000a001d7e,000a0105dc
2013103973,2013年2月1日,01086,063803,233071,新ひだか町,"
-
","


1億6,441万円 (中央)

",24戦7勝 [7-3-1-13],201704021010,2014104286,2019105775,2003102991,000a00010f,1998101750,2006101393,000a000d6b,1994101208
2013104230,2013年3月8日,00423,897009,033080,新ひだか町,"1,404万円 (2014年 セレクトセール)
","


3億3,657万円 (中央)

",42戦7勝 [7-7-2-26],201707020611,2005100375,2010102733,2003102991,000a00010f,1998101750,000a0106a5,000a00185a,000a00026e
2013105357,2013年3月4日,01046,808800,owner.netkeiba.com,社台コーポレーション白老ファーム,白老町,"
-
","


1億8,462万円 (中央)

",2013105357,201609010611,,2001103114,000a00033a,1988107320,2005102113,1998101786,1994109579
2013105736,2013年3月11日,01008,931033,393126,千歳市,"2,160万円 (2015年 千葉サラブレッド・セール)
","


3億5,163万円 (中央)

",38戦8勝 [8-12-5-13],201801020411,2015104625,2017104988,2001103114,000a00033a,1988107320,000a011167,000a00fcdd,000a0110d0
