horse_id,bday,tame_id,owner_id,producer_id,production area,auction price,winnings,lifetime record,wined race title,inbreeding-1,inbreeding-2,father,faths father,faths mother,mother,moths father,moths mother
1998104034,1998年2月25日,05235,x06b26,800071,静内町,"
-
","



2億8,399万円 (中央) /15万円 (地方)
",66戦6勝 [6-3-5-52],200107030711,1994101235,2000101833,000a000013,000a001607,000a009232,000a006434,000a000dfe,000a009449
1998107227,1998年4月3日,05489,083030,700317,新冠,"1,302万円 (1999年 北海道7月セレクト市場)
","



2億9,890万円 (中央) /2,040万円 (地方)
",52戦7勝 [7-6-5-34],200606020311,1990103624,1989102140,1988109108,000a001bda,000a009781,1981106025,000a000258,000a00075e
1998110029,1998年3月24日,00353,864009,580873,米,"
-
","



1億3,705万円 (中央) /2億1,320万円 (地方)
",54戦10勝 [10-8-2-34],200447112310,2002110089,000a012fb3,000a001fa3,000a001849,000a00a3a0,000a00ae60,000a00025e,000a00a1f7
1999100510,1999年5月2日,00221,188800,900085,静内町,"
-
","


2億2,645万円 (中央)

",68戦7勝 [7-6-5-50],200609010211,2003104986,2008100457,1989108341,1982101222,1984104366,1993106753,1985104409,1988101680
1999102397,1999年5月30日,01064,914800,000348,門別町,"
-
","


1億3,392万円 (中央)

",44戦6勝 [6-4-2-32],200506040711,1994102639,1998105635,000a000354,000a0016eb,000a00a4ad,1986101925,000a000166,1978105201
1999106730,1999年6月5日,00425,415800,393126,千歳市,"
-
","



2億9,956万円 (中央) /2億6,906万円 (地方)
",63戦14勝 [14-8-10-31],200644100410,1998101530,1997103416,000a00033a,000a0012bf,000a008c1e,1989107932,000a000258,000a006149
1999106907,1999年3月13日,01017,172002,343126,白老町,"840万円 (1999年 セレクトセール)
","



4億2,690万円 (中央) /8,140万円 (地方)
",44戦14勝 [14-10-2-18],200608050711,1998107262,2001103268,1992102988,000a000082,000a00617d,1992109451,000a00033a,1980101955
1999110175,1999年2月17日,00427,951005,200879,米,"
-
","



2億9,725万円 (中央) /403万円 (地方)
",52戦8勝 [8-4-3-37],200408020411,000a006643,,000a002161,000a001607,000a00ada1,000a00a808,000a0012cb,000a00a807
2000101550,2000年1月16日,01002,334009,370126,早来町,"
-
","


3億8,457万円 (中央)

",38戦9勝 [9-8-5-16],200607010811,1995107881,2004102874,000a00033a,000a0012bf,000a008c1e,1990104543,000a000d30,1980101983
2000102386,2000年4月2日,00244,078800,910082,静内町,"
-
","


5億449万円 (中央)

",38戦7勝 [7-8-5-18],200307030611,2005100664,2007100618,1989108341,1982101222,1984104366,1996105163,1988106095,1977106216
2000102393,2000年6月3日,00390,078800,910082,静内町,"
-
","



2億3,405万円 (中央) /810万円 (地方)
",38戦11勝 [11-3-4-20],200505050611,2005100670,1997102415,000a00025e,000a0010a8,000a0093ef,1992102137,000a000249,1980100896
