date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id
2022/12/24,6阪神7,晴,11,阪神C(G2),202209060711,18,1,2,368.2,18,5,01144,57,芝1400,良,1:20.4,0.2,13-13,33.4-35.5,34.8,532(+6),2015103057,670.0,2014102625
2022/12/04,5中山2,曇,11,ラピスラズリS(L),202206050211,16,4,8,123.7,15,12,01092,58,芝1200,良,1:08.6,0.5,14-14,33.7-34.4,33.9,526(+2),2016110119, ,2014102625
2022/11/27,5阪神8,晴,12,京阪杯(G3),202209050812,16,8,15,206.6,16,15,01171,57,芝1200,良,1:08.8,1.6,6-7,33.3-33.9,34.5,524(0),2019106526, ,2014102625
2022/10/30,4新潟6,曇,11,ルミエールオータムD(L),202204040611,18,7,15,51.8,14,7,01181,57,芝1000,稍,0:55.8,0.7,15,32.8-32.9,32.3,524(-2),2018110120, ,2014102625
2022/10/09,4阪神2,雨,11,夕刊フジ杯オパールS(L),202209040211,16,8,15,95.7,15,8,01144,57,芝1200,稍,1:09.7,1.1,15-14,33.8-34.8,34.6,526(-2),2019106526, ,2014102625
2022/06/25,1函館5,晴,11,青函S(OP),202202010511,16,3,5,45.4,13,5,01032,58,芝1200,良,1:09.2,0.6,12-13,34.0-34.6,33.9,528(-4),2018104331,230.0,2014102625
2022/06/12,1函館2,晴,11,函館スプリントS(G3),202202010211,16,8,15,297.1,15,8,01144,57,芝1200,良,1:07.8,0.6,13-13,32.8-34.4,33.8,532(+4),2019103753, ,2014102625
2022/05/22,1新潟6,晴,11,韋駄天S(OP),202204010611,16,5,10,43.8,12,9,01144,57,芝1000,良,0:55.3,0.5,15,32.5-32.9,32.2,528(-2),2016110152, ,2014102625
2022/03/27,2中京6,晴,11,高松宮記念(G1),202207020611,18,8,16,389.8,18,18,01185,57,芝1200,重,1:09.4,1.1,12-11,33.4-34.9,35.1,530(+2),2016106453, ,2014102625
2022/03/05,2中山3,晴,11,夕刊フジオーシャンS(G3),202206020311,15,3,4,118.8,12,8,01075,56,芝1200,良,1:08.5,0.6,11-10,33.4-34.5,34.2,528(-8),2015110013, ,2014102625
2022/02/13,2小倉2,曇,11,北九州短距離S(OP),202210020211,18,7,15,39.5,13,15,01144,58,芝1200,稍,1:09.5,0.8,12-14,33.6-35.1,35.1,536(+4),2017105421, ,2014102625
