horse_id,bday,tame_id,owner_id,producer_id,production area,auction price,winnings,lifetime record,wined race title,inbreeding-1,inbreeding-2,father,faths father,faths mother,mother,moths father,moths mother
2015101028,2015年3月3日,01027,865800,103341,日高町,"
-
","


1億7,113万円 (中央)

",29戦6勝 [6-7-3-13],202105030811,2011100025,2019101266,2008103552,2001103460,1996107173,2003105704,1989108341,000a00682c
2015104364,2015年4月4日,01135,758005,393126,千歳市,"
-
","


2億3,822万円 (中央)

",27戦4勝 [4-5-1-17],202107010211,2016105060,2014105530,2004102753,1994108729,1997103540,2008103040,1996106512,1993109739
2016102197,2016年5月9日,01148,271008,400018,浦河町,"
-
","



3億1,172万円 (中央) /212万円 (地方)
",29戦7勝 [7-5-1-16],202307020611,2011103692,2015103382,2008103552,2001103460,1996107173,2003102762,1989108341,1997100468
2016106453,2016年4月5日,00420,555031,313359,日高町,"
-
","


4億13万円 (中央)

",34戦6勝 [6-5-4-19],202207020611,2007106743,2012101246,1999106689,000a00033a,000a0065ef,2001100858,000a000082,1991109770
2017100381,2017年4月13日,01064,252030,913124,日高町,"
-
","



1億1,061万円 (中央) /125万円 (地方)
",31戦5勝 [5-7-5-14],202203020611,2019101633,2016103073,2001103114,000a00033a,1988107320,2007105530,1994109686,2000105991
2017100434,2017年4月20日,01113,094700,913124,日高町,"
-
","


1億7,748万円 (中央)

",15戦7勝 [7-1-1-6],202201020611,2015101404,2016103123,000a012045,000a011fee,000a012004,2005103128,000a002161,000a010575
2017100583,2017年3月22日,00427,798008,503393,日高町,"
-
","


1億1,616万円 (中央)

",41戦4勝 [4-8-3-26],202210030711,2018100605,2019106962,2007102923,2000101426,000a00039f,2010110143,000a0113a2,000a011bb5
2017101121,2017年4月25日,01084,539002,020541,平取町,"
-
","


9,687万円 (中央)

",23戦5勝 [5-1-0-17],202210040411,2016103137,2014102019,2008103552,2001103460,1996107173,2008106602,2002100816,1997100831
2017110144,2017年1月31日,01183,882800,780734,米,"
-
","


2億2,955万円 (中央)

",20戦6勝 [6-4-1-9],202104040211,2018110136,,000a01293c,000a001dd9,000a012965,000a0145de,000a0114fe,000a0145dd
2018104934,2018年2月4日,01137,226800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


2億4,405万円 (中央)

",2018104934,202009060611,,000a01239b,000a00232b,000a0123ae,000a013dbd,000a013c7f,000a013d12
2018105069,2018年2月23日,01161,004800,373126,安平町,"2,808万円 (2019年 セレクトセール)
","


3億1,306万円 (中央)

",15戦7勝 [7-0-0-8],202207050211,2019105233,2022104821,2011103916,2002100816,2004110007,2013106122,000a011996,2005102546
2018105204,2018年5月14日,01002,506800,owner.netkeiba.com,ノーザンファーム,安平町,"
-
","


2億2,764万円 (中央)

",2018105204,202106040911,,2011100655,2004103328,2001102948,2010106209,1995104427,2002100873
2018105610,2018年3月26日,01120,754030,343374,むかわ町,"
-
","


1億4,423万円 (中央)

",21戦4勝 [4-5-2-10],202204040211,2010104113,2016104035,2010105827,2002100816,000a00646f,2002100852,000a00013a,000a0001b4
2019100213,2019年5月8日,01174,494800,owner.netkeiba.com,コスモヴューファーム,新冠町,"
-
","


1億8,032万円 (中央)

",2019100213,202207030711,,000a011ed3,000a011d8c,000a011ed6,2002101336,1992109618,000a0064d6
2019102788,2019年5月27日,01160,312006,500055,浦河町,"
-
","


1億2,791万円 (中央)

",11戦3勝 [3-1-1-6],202109050111,2017103136,2016102640,2013105903,2002100816,000a0117fe,2007102278,1995104427,2000100690
2019103753,2019年3月30日,01173,972002,900011,浦河町,"
-
","


3億553万円 (中央)

",12戦4勝 [4-3-3-2],202307011011,2015103145,2013103521,2011103916,2002100816,2004110007,000a011dfd,000a001a98,000a011d7e
2019105126,2019年3月4日,00438,195031,373126,安平町,"1億1,550万円 (2020年 セレクトセール)
","


9,408万円 (中央)

",10戦5勝 [5-1-2-2],202309010611,2020103299,2021105461,000a014315,000a0114fe,000a012011,000a01435b,000a011d00,000a0141bd
2019106526,2019年5月1日,01118,786800,063204,新ひだか町,"
-
","


1億2,604万円 (中央)

",11戦4勝 [4-1-0-6],202209050812,2012103405,2013104702,2011103328,1989108341,000a01152e,2003105308,1995103211,1991109876
