date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id
2023/03/26,2中京6,小雨,11,高松宮記念(G1),202307020611,18,2,3,54.3,15,9,01018,58,芝1200,不,1:12.4,0.9,1-1,35.6-35.9,36.8,502(-6),2016102197, ,2015101028
2023/01/29,1中京10,晴,11,シルクロードS(G3),202307011011,15,7,13,9.9,5,12,01014,58,芝1200,良,1:08.8,1.5,3-3,33.8-33.5,34.7,508(+2),2019103753, ,2015101028
2022/11/27,5阪神8,晴,12,京阪杯(G3),202209050812,16,3,6,16.3,10,2,01014,57,芝1200,良,1:07.4,0.2,2-2,33.3-33.9,33.9,506(0),2019106526,"1,616.2",2015101028
2022/06/12,1函館2,晴,11,函館スプリントS(G3),202202010211,16,2,4,20.8,6,6,01161,57,芝1200,良,1:07.7,0.5,3-3,32.8-34.4,34.6,506(+6),2019103753, ,2015101028
2022/03/27,2中京6,晴,11,高松宮記念(G1),202207020611,18,5,10,225.8,17,3,01161,57,芝1200,重,1:08.3,0.0,3-3,33.4-34.9,34.7,500(-6),2016106453,"4,354.0",2015101028
2022/03/05,2中山3,晴,11,夕刊フジオーシャンS(G3),202206020311,15,5,8,21.5,9,6,00422,56,芝1200,良,1:08.3,0.4,3-2,33.4-34.5,34.6,506(+2),2015110013, ,2015101028
2021/10/17,5新潟4,曇,11,信越S(L),202104050411,18,6,11,6.4,2,9,00422,56.5,芝1400,重,1:22.3,0.5,3-2,33.5-36.5,36.9,504(0),2016104807, ,2015101028
2021/07/18,1福島6,晴,11,福島テレビOP(OP),202103010611,16,2,3,4.1,1,1,00422,57,芝1200,良,1:08.3,-0.3,2-2,32.8-35.5,34.7,504(+2),2017105332,"2,334.3",2015101028
2021/06/27,3東京8,曇,11,パラダイスS(L),202105030811,16,6,11,26.4,10,1,00422,54,芝1400,良,1:21.3,-0.1,1-1,36.2-33.2,33.2,502(+2),2016104899,"2,535.0",2015101028
2020/11/14,3福島5,晴,11,みちのくS(3勝クラス),202003030511,16,5,10,22.4,9,1,01161,57,芝1200,良,1:09.2,-0.2,2-1,34.1-35.1,35.0,500(-4),2015106194,"1,854.3",2015101028
2020/09/12,4中山1,小雨,10,セプテンバーS(3勝クラス),202006040110,16,3,5,6.8,2,13,01092,57,芝1200,稍,1:10.3,1.8,13-15,33.7-34.8,35.3,504(+4),2017106595, ,2015101028
2020/07/11,2福島3,曇,11,テレビユー福島賞(3勝クラス),202003020311,16,6,11,3.9,2,中,00733,57,芝1200,稍, , , ,34.0-34.5, ,500(-2),2014103867, ,2015101028
2020/05/24,2東京10,晴,10,フリーウェイS(3勝クラス),202005021010,13,4,5,11.7,7,9,01018,55,芝1400,良,1:20.3,0.6,1-1,34.6-34.0,34.6,502(0),2015100846, ,2015101028
2020/03/31,3中山2,曇,12,4歳以上2勝クラス,202006030212,11,1,1,2.2,1,1,01170,57,芝1200,稍,1:09.3,-0.1,2-1,34.0-35.3,35.2,502(+4),2014104912,"1,100.0",2015101028
2020/03/08,1中京4,雨,9,4歳以上1勝クラス,202007010409,18,2,3,5.0,2,1,01170,57,芝1200,不,1:12.1,-0.3,1-1,35.2-36.9,36.9,498(+4),2015100608,760.0,2015101028
2019/06/09,3東京4,雨,12,3歳以上1勝クラス,201905030412,16,4,7,2.9,1,2,01122,57,ダ1600,重,1:36.6,0.0,1-1,34.8-36.6,36.6,494(0),2014105261,300.0,2015101028
2019/05/11,2東京7,晴,8,4歳以上500万下,201905020708,16,4,7,4.1,2,2,01122,57,ダ1600,良,1:38.5,0.4,1-1,36.4-36.7,37.1,494(-4),2015104358,300.0,2015101028
2019/04/20,2東京1,晴,8,4歳以上500万下,201905020108,12,4,4,2.9,2,7,01122,57,ダ1600,良,1:39.4,0.5,3-2,35.5-37.9,38.4,498(-4),2015100098, ,2015101028
