date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,race_course,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,wined_horse_id,prize,horse_id,target_race_id
2010/10/05,金沢,曇,9,秋の兼六園特別,201046100509,9,5,5,17.8,3,4,05333,55,ダ1500,重,1:39.2,2.7,9-9-9-8, ,39.5,495(+3),2003100741,2.0,1998105900,200608030411
2010/07/04,金沢,曇,9,渡り鳥の楽園舳倉島特,201046070409,8,2,2,13.0,5,4,05333,55,ダ1500,不,1:38.9,0.6,7-7-7-6, ,38.9,492(0),2006104066,2.0,1998105900,200608030411
2010/05/23,金沢,雨,9,スポーツニッポン杯ノ,201046052309,10,1,1,8.2,4,4,05333,56,ダ1700,不,1:53.2,2.0,7-7-7-8, ,41.0,492(0),2003101622,4.5,1998105900,200608030411
2010/04/25,金沢,晴,8,B42,201046042508,9,7,7,5.5,3,1,a0194,55,ダ1500,良,1:38.6,0.0,6-5-2-2, ,39.7,492(-4),2005106805,29.0,1998105900,200608030411
2010/04/11,金沢,雨,11,金沢箔特別,201046041111,10,2,2,7.4,4,4,a0194,55,ダ1500,不,1:40.0,1.2,10-10-10-5, ,39.8,496(+2),2006102427,2.0,1998105900,200608030411
2010/01/03,金沢,小雪,5,C12,201046010305,0,8,10, , ,,05333,55,ダ1400,不, , , , , ,490(-4),, ,1998105900,200608030411
2009/12/06,金沢,曇,8,B43,200946120608,9,4,4,7.0,2,4,05333,55,ダ1400,不,1:33.6,1.4,9-9-9-7, , ,494(+1),2006101163,1.0,1998105900,200608030411
2009/11/17,金沢,雨,7,シリウス特別,200946111707,10,2,2,5.0,2,7,05333,55,ダ1400,不,1:32.8,2.2,10-9-11-8, , ,493(-2),2006100726, ,1998105900,200608030411
2009/10/18,金沢,曇,7,プロキオン特別,200946101807,11,4,4,1.1,1,1,05333,55,ダ1500,不,1:38.9,-0.2,5-5-3-2, , ,495(+2),2005105463,16.0,1998105900,200608030411
2009/09/20,金沢,晴,6,リゲル特別,200946092006,10,2,2,1.4,1,1,05333,55,ダ1500,良,1:39.2,-1.1,3-3-1-1, , ,493(-3),2002105418,16.0,1998105900,200608030411
2009/09/07,金沢,晴,5,C32,200946090705,9,8,9,1.9,2,1,a00cb,55,ダ1500,良,1:39.4,-0.3,3-3-1-1, , ,496(+4),2003101702,16.0,1998105900,200608030411
2009/07/14,金沢,晴,11,リゲル特別C3級以下,200946071411,8,7,7,12.5,4,2,05333,56,ダ1500,良,1:38.1,0.2,5-5-3-3, , ,492(-2),2000107263,5.5,1998105900,200608030411
2009/06/28,金沢,晴,3,C42,200946062803,8,2,2,7.0,3,1,05333,55,ダ1400,良,1:32.0,-0.1,5-5-2-2, , ,494(+5),2003102756,16.0,1998105900,200608030411
2009/05/17,金沢,雨,7,スピカ特別,200946051707,9,7,7,1.8,1,4,05333,55,ダ1400,不,1:33.9,0.7,9-9-7-6, , ,489(-2),2005106491,0.8,1998105900,200608030411
2009/05/03,金沢,晴,5,C42,200946050305,10,4,4,1.3,1,3,05349,55,ダ1400,良,1:33.2,0.6,4-4-4-3, , ,491(-2),2001101425,1.6,1998105900,200608030411
2009/04/19,金沢,晴,4,C42,200946041904,10,1,1,1.9,1,2,05349,55,ダ1500,良,1:39.3,0.1,4-4-4-4, , ,493(+4),2005101311,4.0,1998105900,200608030411
2009/04/05,金沢,晴,4,純子・美和子、合格記,200946040504,10,1,1,1.4,1,2,05349,55,ダ1400,重,1:32.5,0.6,1-1-1-1, , ,489(-2),2003101714,4.0,1998105900,200608030411
2008/12/09,金沢,雨,10,アクアマリン特別,200846120910,10,1,1,28.1,6,8,05349,55,ダ1500,重,1:38.4,2.4,10-10-10-9, , ,491(+3),2004100005, ,1998105900,200608030411
2008/11/16,金沢,雨,10,北国王冠(G),200846111610,11,6,6,64.0,10,7,05333,55,ダ2600,不,2:58.9,3.0,6-6-3-4, , ,488(+5),2005103103, ,1998105900,200608030411
2008/10/28,金沢,晴,10,アクアマリン特別,200846102810,9,6,6,55.2,6,7,05349,55,ダ1400,不,1:31.9,2.1,7-8-8-8, , ,483(+2),2002107123, ,1998105900,200608030411
2008/10/12,金沢,晴,9,キャッツアイ特別,200846101209,10,7,7,18.9,6,6,05349,55,ダ1700,重,1:54.3,2.5,10-10-10-9, , ,481(-3),2002107123, ,1998105900,200608030411
2008/09/28,金沢,晴,10,キャッツアイ特別,200846092810,12,5,6,14.8,5,7,05349,55,ダ1700,稍,1:52.8,1.2,8-8-8-7, , ,484(-2),2003100366, ,1998105900,200608030411
2008/09/09,金沢,晴,11,ルビー特別,200846090911,9,8,8,12.2,3,4,05349,55,ダ1900,良,2:07.7,0.5,6-7-6-5, , ,486(0),2005103103,3.0,1998105900,200608030411
2008/07/21,金沢,晴,10,アクアマリン特別,200846072110,11,8,10,12.1,5,6,05349,55,ダ1400,良,1:30.8,0.9,8-8-8-8, , ,486(+1),2003103923, ,1998105900,200608030411
2008/06/15,金沢,晴,10,百万石賞(G),200846061510,11,2,2,47.9,8,9,05503,56,ダ2300,良,2:37.5,2.7,3-3-5-9, , ,485(+1),2004105752, ,1998105900,200608030411
2008/05/26,金沢,曇,10,アクアマリン特別,200846052610,8,5,5,29.1,7,5,05349,55,ダ1400,稍,1:30.8,0.4,2-2-1-1, , ,484(-5),2003103923, ,1998105900,200608030411
2008/05/19,金沢,曇,10,ルビー特別,200846051910,10,8,10,34.6,7,10,05349,55,ダ1700,良,1:56.0,6.2,1-1-9-10, , ,489(+1),2002106365, ,1998105900,200608030411
2008/05/06,金沢,晴,10,ルビー特別,200846050610,8,5,5,19.9,5,6,05349,55,ダ1500,良,1:38.5,1.7,8-8-8-8, , ,488(-3),2000105162, ,1998105900,200608030411
2008/04/14,金沢,曇,10,ルビー特別,200846041410,11,8,11,14.7,5,10,05349,55,ダ1700,重,1:54.3,1.8,5-8-11-10, , ,491(+6),2000104304, ,1998105900,200608030411
2008/01/05,金沢,雨,10,ダイヤモンド特別,200846010510,8,8,8,6.0,3,3,05296,54,ダ1900,不,2:06.4,0.2,2-2-3-3, , ,485(-6),2001105528,10.0,1998105900,200608030411
2007/12/17,金沢,雨,11,ルビー特別,200746121711,6,3,3,10.2,5,4,05349,55,ダ1900,不,2:07.1,0.7,5-5-5-5, , ,491(+4),2002106365, ,1998105900,200608030411
2006/11/19,金沢,雨,10,北国王冠(G),200646111910,11,7,9,9.9,3,5,a00cb,56,ダ2600,重,2:57.5,3.9,3-3-2-3, , ,487(0),2000102789,12.0,1998105900,200608030411
2006/11/05,金沢,晴,10,ダイヤモンド特別,200646110510,11,7,9,11.9,4,8,05349,56,ダ1700,良,1:51.8,2.7,10-11-10-10, , ,487(+4),2000102789, ,1998105900,200608030411
2006/10/10,金沢,晴,9,白山大賞典(G3),200646101009,11,1,1,27.0,5,10,05503,57,ダ2100,良,2:19.8,3.9,7-4-9-9, , ,483(+4),2000110217, ,1998105900,200608030411
2006/08/13,金沢,晴,10,イヌワシ賞(G),200646081310,10,7,8,3.2,2,2,05241,56,ダ1900,良,2:05.5,0.2,1-1-1-1, , ,479(+7),2000106007,48.3,1998105900,200608030411
2006/07/17,盛岡,曇,10,マーキュリーC(G3),200635071710,14,3,3,5.1,3,9,05387,57,ダ2000,良,2:09.0,2.0,9-10-9-9, , ,472(-7),1999101279, ,1998105900,200608030411
2006/07/02,金沢,曇,10,ダイヤモンド特別,200646070210,11,1,1,1.1,1,1,05349,56,ダ1900,不,2:03.9,-2.4,2-2-1-1, , ,479(-2),1997106547,100.0,1998105900,200608030411
2006/06/20,金沢,晴,10,ルビー特別,200646062010,10,8,10,1.5,1,1,05349,55,ダ1700,良,1:50.7,-0.5,5-4-3-3, , ,481(+17),2001106542,60.0,1998105900,200608030411
2006/04/30,3京都4,晴,11,天皇賞(春)(G1),200608030411,17,4,8,180.0,14,13,01018,58,芝3200,良,3:16.2,2.8,3-3-4-8,36.2-33.5,35.7,464(0),2002100816, ,1998105900,200608030411
2006/04/08,2阪神5,晴,10,大阪ーハンブルクC(OP),200609020510,10,8,9,15.0,4,4,01018,57,芝2500,良,2:35.8,0.4,4-4-3-3,31.6-38.0,38.0,464(-6),2001107329,360.0,1998105900,200608030411
2006/02/18,2京都7,晴,11,京都記念(G2),200608020711,10,5,5,75.5,9,9,01018,58,芝2200,良,2:15.4,1.9,2-2-2-4,36.4-36.0,37.7,470(+2),2002100476, ,1998105900,200608030411
2006/02/04,1小倉5,晴,11,小倉大賞典(G3),200610010511,16,4,8,23.9,10,14,01026,57,芝1800,良,1:48.6,1.4,4-4-4-9,36.0-35.2,36.0,468(-8),1999106614, ,1998105900,200608030411
2006/01/07,1京都2,晴,11,万葉S(OP),200608010211,10,8,10,5.6,2,5,01018,57,芝3000,良,3:06.4,0.8,1-1-1-2,38.3-35.8,36.6,476(+2),1999107276,240.0,1998105900,200608030411
2005/12/25,5中山8,晴,9,有馬記念(G1),200506050809,16,6,12,188.9,14,13,00641,57,芝2500,良,2:33.6,1.7,14-14-11-16,30.1-35.5,35.9,474(+6),2001103038, ,1998105900,200608030411
2005/11/27,5東京8,晴,10,ジャパンC(G1),200505050810,18,8,18,135.1,17,17,01018,57,芝2400,良,2:25.6,3.5,3-3-3-4,34.7-36.3,38.6,468(+2),2000190010, ,1998105900,200608030411
2005/11/06,5東京2,雨,11,アルゼンチン共和国杯(G2),200505050211,18,2,4,15.5,8,5,01018,57,芝2500,良,2:33.1,0.7,1-1-1-1,30.3-35.4,36.1,466(0),2000102263,290.0,1998105900,200608030411
2005/10/09,4京都2,晴,11,京都大賞典(G2),200508040211,12,2,2,7.8,3,6,01018,57,芝2400,良,2:26.4,1.0,1-1-1-1,37.1-34.2,35.2,466(+8),2000101561, ,1998105900,200608030411
2005/06/26,3阪神4,晴,11,宝塚記念(G1),200509030411,15,2,2,34.3,9,13,01018,58,芝2200,良,2:13.3,1.8,3-3-3-9,35.2-36.1,37.5,458(-8),2001104313, ,1998105900,200608030411
2005/05/01,3京都4,小雨,11,天皇賞(春)(G1),200508030411,18,8,17,45.5,14,2,01018,58,芝3200,良,3:16.7,0.2,2-2-2-1,37.7-34.9,34.9,466(+2),2001103890,"5,415.2",1998105900,200608030411
2005/04/09,2阪神5,晴,11,大阪ーハンブルクC(OP),200509020511,12,8,11,15.4,7,1,01018,55,芝2500,良,2:32.5,-0.1,1-1-1-1,31.2-34.8,34.8,464(-4),1999103565,"2,428.0",1998105900,200608030411
2005/03/12,1阪神5,曇,11,大阪城S(OP),200509010511,12,5,6,87.7,10,1,01018,54,芝2000,良,2:01.4,0.0,1-1-1-1,37.8-35.2,35.2,468(+12),1997100632,"2,430.1",1998105900,200608030411
2004/09/18,4中山3,晴,11,ペルセウスS(OP),200406040311,10,8,10,39.7,8,9,00894,55,ダ1800,良,1:54.7,1.3,2-2-2-2,36.9-38.1,39.4,456(-4),1999110153, ,1998105900,200608030411
2004/08/22,3小倉4,雨,11,阿蘇S(OP),200410030411,11,6,7,12.2,5,5,00945,57,ダ1700,良,1:46.5,0.9,3-3-2-5,30.1-37.6,38.3,460(-8),1998102270,240.0,1998105900,200608030411
2004/08/01,2小倉6,曇,11,KBC杯(OP),200410020611,8,2,2,18.1,6,4,05223,55,ダ1700,不,1:47.6,1.6,4-3-3-3,29.6-38.8,40.1,468(+2),1999102317,360.0,1998105900,200608030411
2004/07/18,2小倉2,晴,11,TV西日本北九州記念(G3),200410020211,13,6,8,57.8,11,9,05223,56,芝1800,良,1:44.8,0.7,9-10-11-11,34.7-35.1,34.9,466(-2),1998106944, ,1998105900,200608030411
2004/07/04,3阪神6,晴,11,米子S(OP),200409030611,12,2,2,15.8,6,5,01026,55,芝1600,良,1:34.8,0.5,3-3-4,34.9-35.9,36.0,468(+8),1999106927,240.0,1998105900,200608030411
2003/12/14,5阪神4,晴,11,鳴尾記念(G3),200309050411,16,6,12,98.8,14,14,01013,56,芝2000,良,2:01.3,1.3,10-11-12-12,36.1-35.0,35.5,460(0),1997105167, ,1998105900,200608030411
2003/11/29,5京都7,小雨,11,京阪杯(G3),200308050711,17,5,10,110.9,11,13,01013,56,芝1800,不,1:50.8,1.7,13-11,36.1-36.3,37.4,460(0),1998104232, ,1998105900,200608030411
2003/10/25,4京都5,曇,11,オパールS(OP),200308040511,12,3,3,15.9,7,8,01013,56,芝2000,良,2:01.4,0.6,9-10-8-9,37.1-34.3,34.1,460(+4),1997100824, ,1998105900,200608030411
2003/10/04,4阪神7,晴,11,ポートアイランドS(OP),200309040711,13,7,10,27.0,10,6,01013,57,芝1600,良,1:34.8,0.5,8-7-5,36.6-34.2,34.3,456(-14),2000105295, ,1998105900,200608030411
2003/09/13,4阪神1,晴,11,朝日チャレンジC(G3),200309040111,12,8,11,23.1,7,12,01014,57,芝2000,良,2:00.4,2.1,6-6-6-6,36.1-35.8,37.4,470(+14),1999100207, ,1998105900,200608030411
2003/04/06,2阪神4,晴,11,産経大阪杯(G2),200309020411,15,3,5,95.8,12,13,01011,57,芝2000,良,2:00.0,0.9,7-7-8-9,35.6-35.4,35.5,456(-8),1999106936, ,1998105900,200608030411
2003/03/15,1阪神5,曇,11,大阪城S(OP),200309010511,16,7,13,12.0,7,11,00894,57,芝2000,良,2:00.8,1.6,9-9-9-9,36.2-35.4,36.2,464(0),1998100265, ,1998105900,200608030411
2003/02/22,2京都7,雨,11,京都記念(G2),200308020711,16,6,11,28.6,9,8,05335,57,芝2200,稍,2:16.9,0.4,9-9-8-7,37.8-35.8,35.3,464(-2),1999107343, ,1998105900,200608030411
2003/01/19,1京都6,小雨,11,日経新春杯(G2),200308010611,13,5,7,17.8,7,5,01014,57,芝2400,良,2:26.6,0.8,10-11-11-10,35.9-35.2,35.4,466(-6),1999105792,640.0,1998105900,200608030411
2002/12/08,5阪神4,小雨,11,鳴尾記念(G3),200209050411,16,2,4,16.3,7,3,05335,57,芝2000,良,2:00.0,0.5,2-2-2-2,35.4-35.7,36.1,472(+4),1996101367,"1,108.6",1998105900,200608030411
