race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
200608030411,1,4,7,2002100816,牡4,58,00666,3:13.4,,"

**

",14-14-4-1,33.5,1.1,1,438(-4),"

",00110,708800
200608030411,2,6,11,2000101561,牡6,58,00660,3:14.0,3.1/2,"

**

",5-5-4-2,33.7,14.4,2,480(+6),"

",01002,372006
200608030411,3,1,1,2001103199,牡5,58,05378,3:14.8,5,"

**

",14-15-10-5,34.3,58.3,8,446(+2),"

",01082,415800
200608030411,4,7,14,2000101573,牡6,58,01014,3:14.9,1/2,"

**

",9-9-13-13,34.1,47.4,7,454(-6),"

",00369,226800
200608030411,5,3,6,2001107329,牡5,58,00732,3:15.1,1.1/2,"

**

",6-6-8-11,34.5,85.4,9,422(-2),"

",01009,695004
200608030411,6,7,13,1999107276,牡7,58,01026,3:15.2,3/4,"

**

",14-15-14-13,34.5,108.3,13,468(-2),"

",00340,261004
200608030411,7,1,2,2000101238,牡6,58,00705,3:15.2,クビ,"

**

",11-11-10-5,34.8,23.5,3,488(-10),"

",01055,768006
200608030411,8,2,4,2002100991,牡4,58,00945,3:15.2,ハナ,"

**

",7-6-4-2,35.1,40.8,6,456(-14),"

",00343,226800
200608030411,9,3,5,2002107238,牡4,58,00674,3:15.3,クビ,"

**

",2-2-2-5,35.1,36.9,5,432(+2),"

",00308,695004
200608030411,10,5,9,2001103389,牡5,58,05203,3:15.7,2.1/2,"

**

",11-12-14-15,34.6,24.5,4,518(-8),"

",01053,226800
200608030411,11,8,15,1999104268,牡7,58,00641,3:15.9,1.1/4,"

**

",3-3-2-2,35.8,100.5,11,484(-2),"

",01046,506800
200608030411,12,8,16,1999107049,牡7,58,00643,3:16.0,1/2,"

**

",8-8-8-8,35.5,98.4,10,476(+6),"

",01041,712800
200608030411,13,4,8,1998105900,牡8,58,01018,3:16.2,1.1/2,"

**

",3-3-4-8,35.7,180.0,14,464(0),"

",00253,568800
200608030411,14,5,10,2001103371,牡5,58,00700,3:16.5,1.3/4,"

**

",13-13-14-15,35.5,106.1,12,484(+8),"

",00348,398002
200608030411,15,6,12,2000105043,牡6,58,00712,3:16.8,2,"

**

",9-9-10-15,35.9,246.5,17,480(+8),"

",01029,517006
200608030411,16,2,3,2000105531,牡6,58,00894,3:16.9,クビ,"

**

",17-17-14-11,36.2,193.2,15,482(+4),"

",01042,635009
200608030411,17,8,17,2001103274,牡5,58,01032,3:18.7,大,"

**

",1-1-1-8,38.3,197.5,16,528(+16),"

",01021,226800
200708030411,1,3,6,2003102205,牡4,58,00637,3:14.1,,"

**

",8-9-6-2,34.7,4.5,2,516(-2),"

",00216,523005
200708030411,2,8,16,2003103513,牡4,58,01014,3:14.1,ハナ,"

**

",7-7-6-4,34.6,49.3,11,502(0),"

",01058,603003
200708030411,3,6,12,2002107238,牡5,58,01032,3:14.1,クビ,"

**

",6-6-6-10,34.4,9.2,4,438(-4),"

",00308,695004
200708030411,4,4,8,2000101573,牡7,58,00945,3:14.2,1/2,"

**

",13-14-14-13,34.2,3.8,1,456(-2),"

",00369,226800
200708030411,5,5,10,2001104325,牡6,58,01029,3:14.4,1.1/4,"

**

",5-5-2-1,35.1,12.1,6,476(-12),"

",01019,656002
200708030411,6,4,7,2000105020,牡7,58,01088,3:14.5,3/4,"

**

",12-12-12-7,34.7,78.6,13,488(-2),"

",00308,695004
200708030411,7,3,5,2002103090,牡5,58,00700,3:14.6,クビ,"

**

",10-10-6-4,35.1,61.4,12,508(-4),"

",00404,398002
200708030411,8,7,13,2003102816,牡4,58,00682,3:14.8,1.1/4,"

**

",13-13-10-7,35.2,23.5,8,476(-2),"

",00429,226800
200708030411,9,2,4,2001103371,牡6,58,01031,3:14.9,3/4,"

**

",8-8-12-10,35.0,144.9,16,482(+10),"

",00348,398002
200708030411,10,1,2,1999107276,牡8,58,01026,3:15.1,1.1/2,"

**

",11-11-10-10,35.3,27.8,9,470(0),"

",00340,261004
200708030411,11,1,1,2003104570,牡4,58,00660,3:15.1,クビ,"

**

",3-2-2-7,35.6,9.6,5,476(-4),"

",00399,246006
200708030411,12,8,15,2001103389,牡6,58,05203,3:15.2,クビ,"

**

",4-4-2-2,35.9,4.6,3,516(-6),"

",01053,226800
200708030411,13,7,14,2003107368,牡4,58,01043,3:15.4,1.1/2,"

**

",15-15-16-15,35.2,12.5,7,470(-2),"

",00383,602800
200708030411,14,5,9,2000107466,牡7,58,01019,3:15.9,3,"

**

",15-15-14-13,36.0,143.0,15,488(-4),"

",01014,494800
200708030411,15,2,3,2002100677,牡5,58,00733,3:18.1,大,"

**

",1-1-1-4,38.8,31.3,10,496(-2),"

",00138,758005
