race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
200608030411,11 R,第133回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2006年4月30日,3回京都4日目,17,4,7,6,11,1,1,110,110,170,470,390,380,210,750,"1,990",430,"2,840","4,320"
200708030411,11 R,第135回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2007年4月29日,3回京都4日目,16,3,6,8,16,6,12,450,220,"1,420",290,"1,070","20,750","5,350",960,"4,620","25,210","44,540","306,390"
200808030411,11 R,第137回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2008年5月4日,3回京都4日目,14,8,14,5,8,8,13,580,190,200,140,460,"2,000",810,380,500,"4,430","1,880","13,500"
200908030410,10 R,第139回天皇賞(春)(G1),芝右 外3200m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2009年5月3日,3回京都4日目,18,1,2,2,4,6,12,"4,650",870,270,370,"3,520","10,200","2,690","4,370","1,360","22,530","32,390","221,080"
201008030410,10 R,第141回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2010年5月2日,3回京都4日目,18,6,12,8,16,2,4,590,230,300,"2,860","2,170","2,320",960,"18,280","19,880","4,190","208,890","911,660"
201108030411,11 R,第143回天皇賞(春)(G1),芝右 外3200m,天候 : 曇,芝 : 稍重,"発走 : 15:40

過去の天皇賞(春)",2011年5月1日,3回京都4日目,18,1,2,7,15,2,3,"1,690",550,300,450,"2,970","6,810","2,280","2,560","1,600","15,590","25,530","189,840"
201208030411,11 R,第145回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2012年4月29日,3回京都4日目,18,1,1,8,16,6,11,"15,960","3,720",400,350,"3,580","61,570","8,400","8,870",760,"208,630","97,140","1,452,520"
201308030411,11 R,第147回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2013年4月28日,3回京都4日目,18,3,6,1,1,7,13,620,300,650,"1,540","2,710","3,190",930,"2,290","3,750","6,500","21,880","111,830"
201408030411,11 R,第149回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2014年5月4日,3回京都4日目,18,4,7,6,12,3,6,"1,150",310,220,"1,470",780,"2,080",740,"7,050","3,230","5,670","38,790","211,180"
201508030411,11 R,第151回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2015年5月3日,3回京都4日目,17,1,1,7,14,1,2,460,260,630,610,690,"6,060","2,300","2,460","6,010","8,480","57,160","236,300"
201608030411,11 R,第153回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2016年5月1日,3回京都4日目,18,1,1,2,3,4,8,450,170,"1,390",240,"6,650","20,160","3,770",540,"7,840","29,950","32,350","242,730"
201708030411,11 R,第155回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2017年4月30日,3回京都4日目,17,2,3,3,6,8,15,220,110,160,110,"1,090","1,040",260,140,350,"1,430",610,"3,780"
201808030411,11 R,第157回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2018年4月29日,3回京都4日目,17,6,12,6,11,4,8,600,190,140,240,"1,020","1,030",400,810,530,"2,510","2,060","11,650"
201908030311,11 R,第159回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2019年4月28日,3回京都3日目,13,7,10,5,7,6,8,280,150,320,630,"1,480","1,780",710,"1,660","4,260","2,470","16,410","49,110"
202008030411,11 R,第161回天皇賞(春)(G1),芝右 外3200m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2020年5月3日,3回京都4日目,14,8,14,4,6,4,5,200,130,830,290,"1,110","5,770","1,790",510,"5,160","7,410","13,500","55,200"
202109021211,11 R,第163回天皇賞(春)(G1),芝右 外-内3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2021年5月2日,2回阪神12日目,17,1,1,6,12,2,3,520,160,150,200,470,940,360,500,530,"2,220","2,040","11,490"
202209021211,11 R,第165回天皇賞(春)(G1),芝右 外-内3200m,天候 : 晴,芝 : 稍重,"発走 : 15:40

過去の天皇賞(春)",2022年5月1日,2回阪神12日目,18,8,16,8,18,4,7,490,180,120,260,450,520,270,950,500,"1,230","1,580","6,970"
