race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201208010111,11 R,第50回スポニチ賞京都金杯(G3),芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:46

過去のスポニチ賞京都金杯",2012年1月5日,1回京都1日目,16,2,4,4,7,8,16,590,200,190,840,"1,390","1,330",590,"3,510","2,750","2,880","14,380","68,090"
201208010211,11 R,第46回日刊スポシンザン記念(G3),芝右 外1600m,天候 : 曇,芝 : 良,"発走 : 15:45

過去の日刊スポシンザン記念",2012年1月8日,1回京都2日目,15,4,7,2,3,4,6,400,200,610,820,"2,200","6,780","2,080","2,660","5,590","9,420","53,960","281,970"
201208010511,11 R,第59回日経新春杯(G2),芝右 外2400m,天候 : 曇,芝 : 良,"発走 : 15:45

過去の日経新春杯",2012年1月15日,1回京都5日目,12,3,3,8,11,7,9,160,110,170,410,440,510,240,800,"1,470",660,"3,460","9,250"
201208010711,11 R,第19回平安ステークス(G3),ダ右1800m,天候 : 晴,ダート : 不良,"発走 : 15:45

過去の平安ステークス",2012年1月22日,1回京都7日目,16,6,12,8,15,5,9,"5,640",650,110,480,"1,110","2,150",770,"6,830",740,"11,110","11,950","151,570"
201208020111,11 R,第17回シルクロードS(G3),芝右1200m,天候 : 晴,芝 : 良,"発走 : 15:35

過去のシルクロードS",2012年1月28日,2回京都1日目,16,4,7,7,13,5,10,140,110,220,"2,110",340,680,320,"2,830","13,950",850,"28,960","73,940"
201208020211,11 R,第47回京都牝馬ステークス(G3),芝右 外1600m,天候 : 曇,芝 : 良,"発走 : 15:35

過去の京都牝馬ステークス",2012年1月29日,2回京都2日目,16,2,3,2,4,6,11,440,190,150,200,"1,060","1,070",420,750,390,"2,010","2,270","10,930"
201208020411,11 R,第52回きさらぎ賞(G3),芝右 外1800m,天候 : 曇,芝 : 良,"発走 : 15:35

過去のきさらぎ賞",2012年2月5日,2回京都4日目,13,6,9,4,4,8,13,210,120,180,180,560,830,320,300,660,"1,260","1,420","4,970"
201208020611,11 R,第105回京都記念(G2),芝右 外2200m,天候 : 晴,芝 : 良,"発走 : 15:35

過去の京都記念",2012年2月12日,2回京都6日目,9,3,3,1,1,8,9,"1,450",250,120,150,"1,500","1,580",550,650,240,"4,810","1,730","18,600"
201208030211,11 R,第43回読売マイラーズカップ(G2),芝右 外1600m,天候 : 曇,芝 : 稍重,"発走 : 15:35

過去の読売マイラーズカップ",2012年4月22日,3回京都2日目,18,8,17,2,3,3,6,690,270,270,300,"1,470","3,560","1,360",960,"1,060","6,750","7,980","36,870"
201208030411,11 R,第145回天皇賞(春)(G1),芝右 外3200m,天候 : 晴,芝 : 良,"発走 : 15:40

過去の天皇賞(春)",2012年4月29日,3回京都4日目,18,1,1,8,16,6,11,"15,960","3,720",400,350,"3,580","61,570","8,400","8,870",760,"208,630","97,140","1,452,520"
201208030511,11 R,第60回京都新聞杯(G2),芝右 外2200m,天候 : 晴,芝 : 良,"発走 : 15:35

過去の京都新聞杯",2012年5月5日,3回京都5日目,13,2,2,7,10,5,6,"1,080",290,170,140,"1,630","2,380",800,600,330,"5,910","2,340","21,000"
201208030708,8 R,第14回京都ハイジャンプ(J.G2),障芝3930m,天候 : 晴,芝 : 良,"発走 : 13:50

過去の京都ハイジャンプ",2012年5月12日,3回京都7日目,12,8,12,3,3,4,4,"1,130",240,180,200,"1,970","2,110",530,690,450,"5,510","3,150","30,490"
201208030911,11 R,第29回東海ステークス(G2),ダ右1900m,天候 : 晴,ダート : 良,"発走 : 15:35

過去の東海ステークス",2012年5月19日,3回京都9日目,15,3,4,6,10,1,1,690,290,200,"1,160","2,390","2,410",970,"5,540","4,930","4,940","35,710","159,380"
201208040111,11 R,第47回デイリー杯2歳S(G2),芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:35

過去のデイリー杯2歳S",2012年10月6日,4回京都1日目,12,7,9,2,2,1,1,"1,560",400,260,170,"4,180","5,740","1,720","1,350",540,"12,410","6,730","58,300"
201208040311,11 R,第47回京都大賞典(G2),芝右 外2400m,天候 : 晴,芝 : 良,"発走 : 15:35

過去の京都大賞典",2012年10月8日,4回京都3日目,14,8,14,6,9,4,6,"1,840",350,460,140,"7,890","15,750","3,210",800,960,"33,880","11,380","128,790"
201208040511,11 R,第17回秋華賞(G1),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:40

過去の秋華賞",2012年10月14日,4回京都5日目,18,7,14,1,1,1,2,130,110,130,410,230,250,150,590,"1,130",300,"1,990","3,660"
