date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,distance,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,horse_id,race_rank,horse_weight_dif,ground_type
2023/02/26,6,0,11,中山記念(G2),202306020211,14,6,10,335.0,11,10,1096,57.0,1800,1,1:48.1,1.0,14-14-12-12,36.4-35.4,35.3,488,2016104877.0,2016100915,2,0,1
2021/12/26,6,0,11,有馬記念(G1),202106050811,16,2,3,146.2,14,8,1032,57.0,2500,1,2:33.5,1.5,13-13-10-13,29.8-36.7,37.1,488,2018105027.0,2016100915,3,0,1
2021/11/28,5,0,12,ジャパンC(G1),202105050812,18,7,13,278.8,16,13,1032,57.0,2400,1,2:26.5,1.8,14-14-16-15,37.0-35.3,34.8,488,2017101835.0,2016100915,3,+6,1
2021/10/31,5,1,11,天皇賞(秋)(G1),202105040811,16,2,3,104.6,9,13,1032,58.0,2000,1,1:59.3,1.4,11-10-8,36.2-33.6,34.2,482,2018105027.0,2016100915,0,+2,1
2021/10/10,9,0,11,京都大賞典(G2),202109040211,14,3,4,12.5,6,13,1032,56.0,2400,1,2:26.7,2.2,13-13-14-14,37.2-36.4,36.8,480,2013105788.0,2016100915,2,-6,1
2021/06/27,9,0,11,宝塚記念(G1),202109030411,13,7,11,23.5,6,8,1032,58.0,2200,1,2:12.2,1.3,8-9-6-4,35.1-34.7,35.7,486,2016104750.0,2016100915,3,0,1
2021/04/04,9,4,11,大阪杯(G1),202109020411,13,1,1,68.8,6,2,1032,57.0,2000,4,2:02.3,0.7,10-10-9-5,35.6-36.8,36.8,486,2017105335.0,2016100915,3,+2,1
2021/02/14,9,0,11,京都記念(G2),202109010211,11,7,8,10.9,5,8,1122,56.0,2200,1,2:11.2,0.8,10-10-10-10,34.9-35.0,35.0,484,2016104648.0,2016100915,2,+8,1
2021/01/24,6,1,11,アメリカジョッキーC(G2),202106010811,17,5,10,18.4,7,5,1043,56.0,2200,3,2:18.3,0.4,15-14-12-10,38.0-37.9,37.1,476,2017105525.0,2016100915,2,+6,1
2020/12/27,6,0,11,有馬記念(G1),202006050811,16,6,11,174.6,14,15,1075,57.0,2500,1,2:38.2,3.2,15-16-14-14,30.8-36.6,38.5,470,2016104750.0,2016100915,3,-10,1
