race_id,race_round,race_title,weather,ground_status,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_obstacle,ground_type,is_left_right_straight,distance,weather_rain,weather_snow,datetime
200607010811,11,第36回高松宮記念(G1),晴,1,中京,18,6,11,7,14,7,13,930,260,210,260,1150,2290,900,1110,760,5550,5240,36620,0,芝,左,1200,0,0,2006-03-26 15:40:00
200707010811,11,第37回高松宮記念(G1),晴,3,中京,18,4,8,8,17,6,11,450,180,2040,180,1790,40250,6770,390,11860,52980,69690,546450,0,芝,左,1200,0,0,2007-03-25 15:40:00
200807011011,11,第38回高松宮記念(G1),小雨,1,中京,18,2,4,5,10,1,1,710,240,300,140,2700,4610,1550,510,770,8750,4960,38840,0,芝,左,1200,1,0,2008-03-30 15:40:00
200907020611,11,第39回高松宮記念(G1),晴,1,中京,18,7,13,2,4,1,2,760,230,180,910,730,1750,740,5690,3220,4410,35840,191140,0,芝,左,1200,0,0,2009-03-29 15:40:00
201007020811,11,第40回高松宮記念(G1),曇,1,中京,18,3,6,8,17,8,16,370,160,350,180,600,2690,1110,420,1230,4450,4230,23750,0,芝,左,1200,0,0,2010-03-28 15:40:00
201109020211,11,第41回高松宮記念(G1),晴,1,阪神,16,2,4,4,8,3,6,450,170,290,1380,1800,2370,780,3900,6730,3970,33730,129290,0,芝,右,1200,0,0,2011-03-27 15:40:00
201207010811,11,第42回高松宮記念(G1),晴,1,中京,18,5,10,8,17,1,1,390,130,160,120,670,950,330,230,420,1750,1070,5930,0,芝,左,1200,0,0,2012-03-25 15:40:00
201307020611,11,第43回高松宮記念(G1),晴,1,中京,17,6,11,6,12,7,13,130,110,200,1230,480,470,240,2320,8340,560,11340,27200,0,芝,左,1200,0,0,2013-03-24 15:40:00
201407020611,11,第44回高松宮記念(G1),曇,2,中京,18,3,5,8,17,5,9,770,260,350,140,2860,10400,2640,540,720,17030,7990,71040,0,芝,左,1200,0,0,2014-03-30 15:40:00
201507020611,11,第45回高松宮記念(G1),小雨,4,中京,18,2,4,7,15,8,16,650,260,490,230,1010,7480,2930,1040,1980,10770,14000,81560,0,芝,左,1200,1,0,2015-03-29 15:40:00
201607020611,11,第46回高松宮記念(G1),曇,1,中京,18,2,4,3,6,4,8,390,150,150,170,680,890,370,450,520,1730,1740,6690,0,芝,左,1200,0,0,2016-03-27 15:40:00
201707020611,11,第47回高松宮記念(G1),小雨,4,中京,18,3,6,2,3,4,7,870,230,180,160,2490,2150,770,700,480,4750,3230,23880,0,芝,左,1200,1,0,2017-03-26 15:40:00
201807020611,11,第48回高松宮記念(G1),晴,1,中京,18,5,9,4,8,4,7,550,240,220,750,1300,1690,700,2290,2760,3170,15910,60450,0,芝,左,1200,0,0,2018-03-25 15:40:00
201907020611,11,第49回高松宮記念(G1),晴,1,中京,18,2,3,2,4,4,7,780,320,2210,6410,33310,30530,7590,30460,88520,49630,870740,4497470,0,芝,左,1200,0,0,2019-03-24 15:40:00
202007010811,11,第50回高松宮記念(G1),晴,3,中京,18,8,16,4,8,2,3,3230,810,210,290,2300,9150,3540,3770,880,26540,22830,217720,0,芝,左,1200,0,0,2020-03-29 15:40:00
202107020611,11,第51回高松宮記念(G1),雨,3,中京,18,7,14,8,16,5,9,600,210,140,190,710,1010,430,680,450,2170,2200,9770,0,芝,左,1200,2,0,2021-03-28 15:40:00
202207020611,11,第52回高松宮記念(G1),晴,3,中京,18,1,2,5,9,5,10,2780,660,420,4500,4150,13560,3490,40170,28390,34720,525080,2784560,0,芝,左,1200,0,0,2022-03-27 15:40:00
