date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner_up_horse_id,horse_id,target_race_id,race_rank,horse_weight_dif,is_down,burden_weight_rate,is_obstacle,ground_type,is_left_right_straight,distance,race_date
2006-03-05,6,1,11,報知杯弥生賞(G2),200606020411,10,4,4,97,3,5,00700,56.0,1,122.1,-0.5999999999999943,6.0,35.900000000000006,36,452.0,2003102991,2003101859,200606030811,2,-4.0,0,0.12389380530973451,0,2,0,2000,2006-04-16
2005-10-30,5,1,7,くるみ賞(500万下),200505040807,9,4,4,25,1,1,00700,55.0,1,83.0,0.0,5.5,35.2,34,460.0,2003110138,2003101859,200606030811,0,6.0,0,0.11956521739130435,0,2,0,1400,2006-04-16
2006-02-12,8,2,11,きさらぎ賞(G3),200608020611,12,3,3,97,5,6,01032,56.0,1,107.8,0.7999999999999972,8.0,35.099999999999994,35,476.0,2003102720,2003102281,200606030811,1,-2.0,0,0.11764705882352941,0,2,0,1800,2006-04-16
2006-01-21,8,2,9,若駒S(OP),200608010709,6,2,2,13,1,1,00666,56.0,1,123.0,1.0,1.75,36.0,34,486.0,2003102883,2003102558,200606030811,0,0.0,0,0.11522633744855967,0,2,0,2000,2006-04-16
2006-01-08,8,1,9,福寿草特別(500万下),200608010309,10,4,4,22,1,1,00666,56.0,1,122.8,1.1999999999999886,4.0,35.9,34,486.0,2003100995,2003102558,200606030811,0,-2.0,0,0.11522633744855967,0,2,0,2000,2006-04-16
2005-12-11,6,2,5,2歳新馬,200506050405,15,4,6,22,1,1,00666,55.0,1,127.0,1.5,6.5,36.3,35,488.0,2003100520,2003102558,200606030811,0,0.0,0,0.11270491803278689,0,2,0,2000,2006-04-16
2006-03-19,6,2,11,フジTVスプリングS(G2),200606020811,16,5,10,55,2,3,05212,56.0,1,108.9,-0.4000000000000057,12.5,36.65,35,464.0,2003102205,2003102720,200606030811,2,4.0,0,0.1206896551724138,0,2,0,1800,2006-04-16
2005-10-15,8,5,2,2歳未勝利,200508040302,11,6,7,18,1,1,00945,55.0,1,94.8,0.09999999999999432,3.0,35.400000000000006,35,462.0,2003100648,2003102720,200606030811,0,-6.0,0,0.11904761904761904,0,2,0,1600,2006-04-16
2006-03-19,6,2,11,フジTVスプリングS(G2),200606020811,16,2,3,16,1,2,01014,56.0,1,108.9,-0.5,3.5,36.65,36,490.0,2003102205,2003102955,200606030811,2,-2.0,0,0.11428571428571428,0,2,0,1800,2006-04-16
2006-02-05,5,1,11,共同通信杯(G3),200605010411,11,6,6,20,1,2,01014,57.0,1,108.5,-0.10000000000000853,2.0,35.4,35,492.0,2003102991,2003102955,200606030811,1,12.0,0,0.11585365853658537,0,2,0,1800,2006-04-16
2005-12-11,6,2,2,2歳未勝利,200506050402,16,4,7,12,1,1,00897,55.0,1,118.0,-1.5,5.0,38.9,40,484.0,2003100162,2003102986,200606030811,0,8.0,0,0.11363636363636363,0,1,0,1800,2006-04-16
2005-11-27,5,1,1,2歳未勝利,200505050801,16,3,5,41,2,2,00897,55.0,1,99.8,0.6999999999999886,5.5,37.150000000000006,38,476.0,2003102678,2003102986,200606030811,0,4.0,0,0.11554621848739496,0,1,0,1600,2006-04-16
2005-11-12,3,2,2,2歳未勝利,200503030702,14,3,4,44,3,2,00635,55.0,2,110.1,-0.09999999999999432,4.0,35.05,40,472.0,2003104736,2003102986,200606030811,0,-4.0,0,0.11652542372881355,0,1,0,1700,2006-04-16
2005-12-24,9,2,11,ラジオたんぱ杯2歳S(G3),200509050711,12,6,8,22,1,2,00600,55.0,1,121.9,1.9000000000000057,5.75,35.8,35,474.0,2003104910,2003102991,200606030811,1,4.0,0,0.1160337552742616,0,2,0,2000,2006-04-16
2006-02-26,9,2,9,すみれS(OP),200609010209,9,3,3,54,3,1,00700,56.0,5,139.0,-0.5999999999999943,3.5,36.1,35,472.0,2003104869,2003103038,200606030811,0,-10.0,0,0.11864406779661017,0,2,0,2200,2006-04-16
2005-12-17,9,1,6,2歳新馬,200509050506,13,6,9,30,2,2,00666,55.0,1,127.1,0.20000000000000284,3.25,37.7,37,486.0,2003102473,2003103038,200606030811,0,0.0,0,0.11316872427983539,0,2,0,2000,2006-04-16
2005-10-01,1,2,11,札幌2歳S(G3),200501020711,13,4,4,194,8,10,00660,55.0,1,111.6,-1.2999999999999972,2.5,36.25,37,484.0,2003102991,2003103165,200606030811,1,8.0,0,0.11363636363636363,0,2,0,1800,2006-04-16
2005-08-07,2,1,1,2歳未勝利,200502020801,10,2,2,94,5,1,00672,54.0,1,72.3,-0.7000000000000028,1.0,36.15,37,480.0,2003105299,2003103165,200606030811,0,8.0,0,0.1125,0,2,0,1200,2006-04-16
2005-07-17,2,1,1,2歳未勝利,200502020201,7,5,5,47,3,5,00672,54.0,1,70.8,-0.9000000000000057,3.0,35.05,36,472.0,2003100892,2003103165,200606030811,0,2.0,0,0.11440677966101695,0,2,0,1200,2006-04-16
2005-12-10,9,1,9,エリカ賞(500万下),200509050309,10,8,10,32,2,1,00945,55.0,1,123.4,0.9000000000000057,4.5,35.85,35,472.0,2003100496,2003104910,200606030811,0,-6.0,0,0.11652542372881355,0,2,0,2000,2006-04-16
2006-03-19,6,2,11,フジTVスプリングS(G2),200606020811,16,6,11,577,9,15,00733,56.0,1,111.0,0.09999999999999432,14.75,36.65,37,464.0,2003102205,2003105155,200606030811,2,-4.0,0,0.1206896551724138,0,2,0,1800,2006-04-16
2006-01-15,6,1,11,京成杯(G3),200606010611,11,2,2,218,5,2,00733,56.0,2,123.4,0.700000000000017,6.5,36.25,35,468.0,2003110004,2003105155,200606030811,1,0.0,0,0.11965811965811966,0,2,0,2000,2006-04-16
2005-12-25,6,1,3,2歳未勝利,200506050803,18,4,7,39,2,1,00733,55.0,1,122.7,-0.20000000000000284,2.0,36.5,36,468.0,2003109431,2003105155,200606030811,0,2.0,0,0.11752136752136752,0,2,0,2000,2006-04-16
2005-12-11,9,2,5,2歳未勝利,200509050405,12,5,5,32,2,2,00733,55.0,1,124.9,-0.20000000000000284,4.75,36.95,38,466.0,2003102813,2003105155,200606030811,0,-4.0,0,0.11802575107296137,0,2,0,2000,2006-04-16
2005-11-26,5,1,2,2歳未勝利,200505050702,18,2,3,26,1,3,01061,55.0,1,96.3,0.29999999999999716,13.5,35.8,35,470.0,2003104567,2003105155,200606030811,0,8.0,0,0.11702127659574468,0,2,0,1600,2006-04-16
2005-12-24,6,1,9,クリスマスローズS(OP),200506050709,10,5,5,14,1,2,00660,55.0,1,70.0,-1.0999999999999943,9.0,34.9,36,456.0,2003101630,2003110015,200606030811,0,-2.0,0,0.1206140350877193,0,2,0,1200,2006-04-16
2005-12-04,7,3,5,2歳新馬,200507030205,11,4,4,24,1,1,05339,55.0,1,68.9,0.5,1.0,34.45,35,458.0,2003110176,2003110015,200606030811,0,0.0,0,0.12008733624454149,0,2,0,1200,2006-04-16
2007-03-17,9,1,11,若葉S(OP),200709010711,9,7,7,504,8,2,01032,56.0,1,121.2,0.7999999999999972,7.75,35.85,35,438.0,2004102884,2004100730,200706030811,0,2.0,0,0.1278538812785388,0,2,0,2000,2007-04-15
2006-12-10,9,2,5,2歳未勝利,200609030405,15,4,7,165,5,3,01019,55.0,1,124.8,1.6000000000000085,9.0,36.45,36,444.0,2004103192,2004100730,200706030811,0,0.0,0,0.12387387387387387,0,2,0,2000,2007-04-15
