race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,race_rank,is_obstacle,ground_type,is_left_right_straight,distance,datetime
200606030811,11,第66回皐月賞(G1),2,1,2006-04-16,6,18,3,5,1,2,3,6,1450,430,760,260,1000,13980,3290,1380,3000,29670,34700,273310,3,0,2,2,2000,2006-04-16 15:40:00
200706030811,11,第67回皐月賞(G1),1,1,2007-04-15,6,18,8,17,5,9,1,1,1730,590,2110,190,6360,94630,20070,1190,8230,178340,205370,1623250,3,0,2,2,2000,2007-04-15 15:40:00
200806030811,11,第68回皐月賞(G1),2,1,2008-04-20,6,18,3,6,1,1,5,9,1710,430,380,150,2090,10260,2590,1050,940,20300,11230,82750,3,0,2,2,2000,2008-04-20 15:40:00
200906030811,11,第69回皐月賞(G1),1,1,2009-04-19,6,18,8,16,2,4,7,15,610,280,1470,870,5170,11940,3360,1570,10240,18390,67600,390930,3,0,2,2,2000,2009-04-19 15:40:00
201006030811,11,第70回皐月賞(G1),1,2,2010-04-18,6,18,7,13,8,16,6,11,230,130,280,720,550,1260,540,1440,4080,1920,11410,35220,3,0,2,2,2000,2010-04-18 15:40:00
201105020211,11,第71回皐月賞(G1),1,1,2011-04-24,5,18,6,12,2,4,1,2,1080,300,130,550,570,1260,630,3840,1330,3740,9220,55450,3,0,2,1,2000,2011-04-24 15:40:00
201206030811,11,第72回皐月賞(G1),1,2,2012-04-15,6,18,7,14,5,9,3,6,710,210,160,200,890,1220,500,700,460,3190,2050,12620,3,0,2,2,2000,2012-04-15 15:40:00
201306030811,11,第73回皐月賞(G1),1,1,2013-04-14,6,18,4,7,7,14,6,12,370,140,150,140,440,840,360,320,330,1750,1210,5920,3,0,2,2,2000,2013-04-14 15:40:00
201406030811,11,第74回皐月賞(G1),2,1,2014-04-20,6,18,1,2,8,17,8,18,510,190,150,470,330,920,390,1990,1250,1900,7690,33490,3,0,2,2,2000,2014-04-20 15:40:00
201506030811,11,第75回皐月賞(G1),2,1,2015-04-19,6,15,2,2,3,5,4,7,460,190,150,290,780,790,390,1130,860,1530,3110,12360,3,0,2,2,2000,2015-04-19 15:40:00
201606030811,11,第76回皐月賞(G1),1,1,2016-04-17,6,18,8,18,2,3,6,11,3090,530,160,150,450,6220,1730,1760,320,17680,6000,70390,3,0,2,2,2000,2016-04-17 15:40:00
201706030811,11,第77回皐月賞(G1),1,1,2017-04-16,6,18,6,11,4,7,5,10,2240,650,320,1340,2380,8710,2250,16960,6770,20720,176030,1064360,3,0,2,2,2000,2017-04-16 15:40:00
201806030811,11,第78回皐月賞(G1),2,2,2018-04-15,6,16,4,7,7,14,5,10,1450,430,580,530,9520,12880,3250,3010,4290,23570,53410,372080,3,0,2,2,2000,2018-04-15 15:40:00
201906030811,11,第79回皐月賞(G1),2,1,2019-04-14,6,18,6,12,4,7,2,4,170,110,200,160,670,950,360,270,660,1140,1480,4390,3,0,2,2,2000,2019-04-14 15:40:00
202006030811,11,第80回皐月賞(G1),1,2,2020-04-19,6,18,1,1,4,7,8,16,270,140,170,690,640,660,330,2250,2610,1120,9150,26310,3,0,2,2,2000,2020-04-19 15:40:00
202106030811,11,第81回皐月賞(G1),1,2,2021-04-18,6,16,4,7,7,13,2,3,370,170,490,380,1150,4300,1540,1150,3560,5510,20000,82320,3,0,2,2,2000,2021-04-18 15:40:00
202206030811,11,第82回皐月賞(G1),2,1,2022-04-17,6,18,7,14,8,18,6,12,910,240,210,140,1730,3570,1220,530,550,7540,4190,32840,3,0,2,2,2000,2022-04-17 15:40:00
