frame_number,horse_number,horse_id,burden_weight,rider_id,tamer_id,horse_weight,horse_name,race_id,age,sex,horse_weight_dif
1,1,2015104364,58,01091,01135,484,トゥラヴェスーラ,202307020611,8,0,-12
1,2,2019102788,56,01095,01160,470,ウォーターナビレラ,202307020611,4,1,-16
2,3,2015101028,58,01018,01027,502,キルロード,202307020611,8,2,-6
2,4,2018105610,58,01019,01120,512,ダディーズビビッド,202307020611,5,0,-2
3,5,2018105069,56,01032,01161,486,メイケイエール,202307020611,5,1,9
3,6,2016106453,58,01117,00420,492,ナランフレグ,202307020611,7,0,-6
4,7,2017100434,58,01171,01113,520,ヴェントヴォーチェ,202307020611,6,0,6
4,8,2017110144,56,05203,01183,484,ロータスランド,202307020611,6,1,6
5,9,2017100583,58,01191,00427,478,ディヴィナシオン,202307020611,6,0,6
5,10,2017100381,56,01169,01064,476,オパールシャルム,202307020611,6,1,-10
6,11,2018105204,58,05386,01002,530,ピクシーナイト,202307020611,5,0,2
6,12,2019105126,58,01140,00438,492,アグリ,202307020611,4,0,-4
7,13,2016102197,58,01180,01148,518,ファストフォース,202307020611,7,0,-8
7,14,2019106526,58,01157,01118,462,トウシンマカオ,202307020611,4,0,-4
7,15,2019103753,56,01115,01173,466,ナムラクレア,202307020611,4,1,-6
8,16,2018104934,58,01174,01137,468,グレナディアガーズ,202307020611,5,0,-6
8,17,2017101121,56,01128,01084,436,ボンボヤージ,202307020611,6,1,-10
8,18,2019100213,58,01126,01174,474,ウインマーベル,202307020611,4,0,-6
