date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,wined_horse_id,horse_id,target_race_id,race_rank,horse_weight_dif,is_down,burden_weight_rate,is_obstacle,ground_type,is_left_right_straight,distance,race_date
2006-01-22,6,2,11,アメリカジョッキーC(G2),200606010811,10,7,7,97,5,1,00641,58.0,2,133.2,0.19999999999998863,1.0,36.5,36,478.0,2002110191,1999104268,200608030411,2,-4.0,0,0.12133891213389121,0,2,0,2200,2006-04-30
2005-06-26,9,1,11,宝塚記念(G1),200509030411,15,1,1,362,10,15,00700,58.0,1,133.5,2.1000000000000227,2.75,35.650000000000006,38,480.0,2001104313,1999104268,200608030411,3,0.0,0,0.12083333333333333,0,2,0,2200,2006-04-30
2002-03-10,9,1,3,3歳新馬,200209010603,14,7,11,102,4,4,00700,55.0,1,75.9,-1.4000000000000057,5.5,37.45,38,492.0,1999104328,1999104268,200608030411,0,-6.0,0,0.11178861788617886,0,1,0,1200,2006-04-30
2002-02-24,9,1,4,3歳新馬,200209010204,16,3,5,82,2,4,00700,55.0,1,88.2,0.09999999999999432,2.0,37.599999999999994,40,498.0,1999102941,1999104268,200608030411,0,0.0,0,0.11044176706827309,0,1,0,1400,2006-04-30
2005-01-16,8,2,11,日経新春杯(G2),200508010611,10,6,6,16,1,9,00666,58.0,1,149.5,-1.0,6.5,35.75,34,464.0,2000102263,1999107049,200608030411,2,4.0,0,0.125,0,2,0,2400,2006-04-30
2004-10-31,5,2,11,天皇賞(秋)(G1),200405040811,17,6,11,139,7,6,00643,58.0,2,119.6,0.29999999999998295,15.0,35.45,35,464.0,2000101517,1999107049,200608030411,0,-4.0,0,0.125,0,2,0,2000,2006-04-30
2006-03-19,9,2,11,阪神大賞典(G2),200609010811,9,5,5,434,6,5,01026,57.0,2,191.1,-0.8000000000000114,4.25,37.15,39,470.0,2002100816,1999107276,200608030411,2,0.0,0,0.12127659574468085,0,2,0,3000,2006-04-30
2006-01-07,8,1,11,万葉S(OP),200608010211,10,1,1,60,4,1,01026,57.0,1,185.6,0.09999999999999432,5.5,37.05,35,472.0,2001103371,1999107276,200608030411,0,2.0,0,0.12076271186440678,0,2,0,3000,2006-04-30
2005-12-04,7,2,11,春待月S(OP),200507030211,16,3,6,80,5,11,01026,57.0,2,147.2,-0.4000000000000057,11.5,34.85,40,470.0,2001100583,1999107276,200608030411,0,0.0,0,0.12127659574468085,0,1,0,2300,2006-04-30
2005-08-06,2,1,9,みなみ北海道S(OP),200502020709,9,8,9,69,3,3,00705,56.5,1,164.9,0.700000000000017,6.5,37.05,36,470.0,1999107278,1999107276,200608030411,0,8.0,0,0.1202127659574468,0,2,0,2600,2006-04-30
2005-01-08,8,2,11,万葉S(OP),200508010211,9,5,5,49,2,4,00708,57.0,1,189.5,1.200000000000017,4.5,36.9,35,468.0,2000101573,1999107276,200608030411,0,2.0,0,0.12179487179487179,0,2,0,3000,2006-04-30
2004-10-10,8,1,11,京都大賞典(G2),200408040211,10,6,6,258,7,9,00708,57.0,1,146.4,0.20000000000001705,9.75,35.05,35,444.0,1999107049,1999107276,200608030411,2,-18.0,0,0.12837837837837837,0,2,0,2400,2006-04-30
2004-05-02,8,2,11,天皇賞(春)(G1),200408030411,18,5,10,311,7,11,00708,58.0,1,200.3,0.29999999999998295,16.5,36.650000000000006,35,462.0,1999106849,1999107276,200608030411,0,2.0,0,0.12554112554112554,0,2,0,3200,2006-04-30
2003-05-04,8,1,11,天皇賞(春)(G1),200308030411,18,1,1,107,4,6,00708,58.0,1,197.5,0.6999999999999886,15.75,36.6,36,446.0,1999104693,1999107276,200608030411,0,-2.0,0,0.13004484304932734,0,2,0,3200,2006-04-30
2003-03-23,9,1,11,阪神大賞典(G2),200309010811,15,3,5,195,7,3,00708,57.0,1,186.2,0.20000000000001705,13.0,35.5,34,448.0,1998106944,1999107276,200608030411,2,-10.0,0,0.12723214285714285,0,2,0,3000,2006-04-30
2003-02-22,8,5,11,京都記念(G2),200308020711,16,1,2,121,6,14,00708,56.0,2,137.6,0.0,16.0,36.8,35,458.0,1999107343,1999107276,200608030411,2,2.0,0,0.1222707423580786,0,2,0,2200,2006-04-30
2001-09-15,1,2,6,2歳新馬,200101020506,10,7,7,38,3,3,00708,53.0,1,113.5,0.0,1.75,37.15,36,442.0,1999102748,1999107276,200608030411,0,2.0,0,0.11990950226244344,0,2,0,1800,2006-04-30
2001-09-01,1,1,5,2歳新馬,200101020105,11,4,4,171,5,2,00708,53.0,1,113.8,-0.20000000000000284,9.0,37.0,36,440.0,1999100891,1999107276,200608030411,0,0.0,0,0.12045454545454545,0,2,0,1800,2006-04-30
2006-04-02,9,5,11,産経大阪杯(G2),200609020411,12,3,3,167,6,2,00705,57.0,3,124.6,0.30000000000001137,8.5,37.349999999999994,37,498.0,2001103435,2000101238,200608030411,2,10.0,0,0.1144578313253012,0,2,0,2000,2006-04-30
2004-10-23,8,2,9,比叡S(1600万下),200408040509,7,4,4,41,2,4,00894,57.0,1,148.2,0.0,3.5,35.45,35,474.0,2000101434,2000101238,200608030411,0,-8.0,0,0.12025316455696203,0,2,0,2400,2006-04-30
2003-01-12,8,1,11,日刊スポシンザン記念(G3),200308010411,16,2,4,30,2,2,05339,56.0,1,94.9,-0.09999999999999432,10.0,35.400000000000006,34,478.0,2000101634,2000101238,200608030411,1,-4.0,0,0.11715481171548117,0,2,0,1600,2006-04-30
2002-12-08,7,2,3,2歳新馬,200207030403,10,6,6,34,2,1,05339,54.0,1,111.1,-1.1999999999999886,5.25,36.099999999999994,35,482.0,2000102596,2000101238,200608030411,0,0.0,0,0.11203319502074689,0,2,0,1800,2006-04-30
2006-03-25,6,1,11,日経賞(G2),200606030111,13,3,3,18,1,1,00660,58.0,1,153.0,-3.1999999999999886,5.5,33.0,35,474.0,2001103199,2000101561,200608030411,2,0.0,0,0.12236286919831224,0,2,0,2500,2006-04-30
2005-11-27,5,1,10,ジャパンC(G1),200505050810,18,3,5,205,9,4,00666,57.0,1,142.4,-0.5999999999999943,8.0,35.5,35,472.0,2000190010,2000101561,200608030411,3,-2.0,0,0.12076271186440678,0,2,0,2400,2006-04-30
2005-10-30,5,1,10,天皇賞(秋)(G1),200505040810,18,2,3,72,3,15,00666,58.0,1,120.9,-1.6999999999999886,15.0,35.3,33,474.0,2000105086,2000101561,200608030411,0,0.0,0,0.12236286919831224,0,2,0,2000,2006-04-30
2005-10-09,8,1,11,京都大賞典(G2),200508040211,12,5,6,17,1,1,00666,57.0,1,145.4,-1.700000000000017,5.0,35.650000000000006,34,474.0,1998101663,2000101561,200608030411,2,0.0,0,0.12025316455696203,0,2,0,2400,2006-04-30
2005-05-01,8,3,11,天皇賞(春)(G1),200508030411,18,3,6,54,1,6,01014,58.0,1,197.1,1.1000000000000085,15.25,36.3,34,478.0,2001103890,2000101561,200608030411,0,0.0,0,0.12133891213389121,0,2,0,3200,2006-04-30
2005-03-20,9,2,11,阪神大賞典(G2),200509010811,10,4,4,48,3,3,01014,58.0,1,186.3,0.09999999999999432,5.25,35.55,35,478.0,1999107343,2000101561,200608030411,2,18.0,0,0.12133891213389121,0,2,0,3000,2006-04-30
2004-10-31,5,2,11,天皇賞(秋)(G1),200405040811,17,8,16,96,4,12,00945,58.0,2,120.7,0.29999999999998295,11.666666666666666,35.45,36,460.0,2000101517,2000101561,200608030411,0,-6.0,0,0.12608695652173912,0,2,0,2000,2006-04-30
2004-06-27,9,1,11,宝塚記念(G1),200409030411,15,5,8,51,3,3,00666,58.0,1,131.5,-0.29999999999998295,9.25,35.2,35,466.0,1997110043,2000101561,200608030411,3,-10.0,0,0.12446351931330472,0,2,0,2200,2006-04-30
2004-05-02,8,2,11,天皇賞(春)(G1),200408030411,18,7,14,22,1,13,00666,58.0,1,200.6,-1.9000000000000057,8.5,36.650000000000006,36,476.0,1999106849,2000101561,200608030411,0,4.0,0,0.12184873949579832,0,2,0,3200,2006-04-30
2004-03-21,9,2,11,阪神大賞典(G2),200409010811,9,5,5,14,1,1,00666,56.0,1,188.4,-0.5,3.5,36.349999999999994,35,472.0,2000101398,2000101561,200608030411,2,6.0,0,0.11864406779661017,0,2,0,3000,2006-04-30
2003-12-28,6,1,9,有馬記念(G1),200306060809,12,3,3,81,4,2,00666,55.0,1,152.0,-0.29999999999999716,2.75,32.5,37,466.0,1999110099,2000101561,200608030411,3,0.0,0,0.11802575107296137,0,2,0,2500,2006-04-30
2006-03-19,9,2,11,阪神大賞典(G2),200609010811,9,8,9,233,4,6,00945,57.0,2,191.4,0.0,7.0,37.15,39,460.0,2002100816,2000101573,200608030411,2,0.0,0,0.12391304347826088,0,2,0,3000,2006-04-30
2005-05-01,8,3,11,天皇賞(春)(G1),200508030411,18,7,13,79,4,3,00705,58.0,1,196.7,-0.5999999999999943,8.75,36.3,35,446.0,2001103890,2000101573,200608030411,0,-8.0,0,0.13004484304932734,0,2,0,3200,2006-04-30
2005-03-20,9,2,11,阪神大賞典(G2),200509010811,10,1,1,19,1,2,00705,57.0,1,186.3,-0.30000000000001137,4.0,35.55,35,454.0,1999107343,2000101573,200608030411,2,-10.0,0,0.12555066079295155,0,2,0,3000,2006-04-30
2003-09-28,9,1,8,3歳以上500万下,200309040608,15,4,6,43,2,2,00945,54.0,1,154.7,-0.5,8.75,33.1,35,448.0,1999104288,2000101573,200608030411,0,-14.0,0,0.12053571428571429,0,2,0,2500,2006-04-30
2006-03-19,9,2,11,阪神大賞典(G2),200609010811,9,6,6,1435,8,4,01032,57.0,2,190.8,0.0,8.5,37.15,38,472.0,2002100816,2000105043,200608030411,2,-12.0,0,0.12076271186440678,0,2,0,3000,2006-04-30
2005-08-20,1,2,11,支笏湖特別(1000万下),200501010311,9,3,3,46,3,4,00705,57.0,1,163.1,0.5,4.75,37.25,37,480.0,2001102925,2000105043,200608030411,0,2.0,0,0.11875,0,2,0,2600,2006-04-30
2005-04-09,6,1,10,安房特別(1000万下),200506030510,11,8,11,29,1,5,00712,57.0,1,152.0,0.30000000000001137,5.75,32.6,36,474.0,1999107055,2000105043,200608030411,0,-2.0,0,0.12025316455696203,0,2,0,2500,2006-04-30
2005-11-06,5,5,11,アルゼンチン共和国杯(G2),200505050211,18,3,5,188,10,16,00641,57.0,1,154.5,-1.0,16.0,32.85,36,480.0,2000102263,2000105531,200608030411,2,0.0,0,0.11875,0,2,0,2500,2006-04-30
2005-10-09,8,1,11,京都大賞典(G2),200508040211,12,7,9,223,7,11,05223,57.0,1,146.7,1.0,11.25,35.650000000000006,34,480.0,2000101561,2000105531,200608030411,2,4.0,0,0.11875,0,2,0,2400,2006-04-30
